Title#0,"""Special Training: Episodes 1~4"""
Explanation#0,"""This is an exercise VR Training<br>quest. Aim for the final area<br>within the time limit.<br>This is a combined experience of<br>all the previous training exercises.<br>Using each and every person's wit,<br>skill and experience, plan your strategies.<br>――――――――――――――――――――<br>Time Limit: 20 minutes<br>Maximum damage cap/999999"""
SimpleExplanation#0,"""Defeat the enemies on each planet!"""
NpcComMsg1#0,"""Are you ready? The special training program will be starting soon!"""
NpcComMsg2#0,"""This quest is a culmination of all the previous training quests you've encountered, so don't let your guard down for second!"""
NpcComMsg3#0,"""With that, we'll start the transfer. Please do your absolute best!"""
Area0S#0,"""Caves Area 1"""
Area0L#0,"""Planet Amduscia - Caves Area 1"""
Area1S#0,"""Mining Base Area 2"""
Area1L#0,"""Planet Lillipa - Mining Base Area 2"""
Area2S#0,"""Sealed Grounds Area 3"""
Area2L#0,"""Planet Harkotan - Sealed Grounds Area 3"""
Area3S#0,"""Lunar Surface Area 4"""
Area3L#0,"""Earth's Orbit - Moon - Lunar Surface Area 4"""
Area4S#0,"""Yggdrasil Area 5"""
Area4L#0,"""Planet Earth - Yggdrasil Area 5"""
Area5S#0,"""????"""
Area5L#0,"""????"""
a1#0,"""Complete a certain Client Order."""
a2#0,"""Complete a certain Client Order."""
a3#0,"""Possess a Super Hard License."""
a4#0,"""Possess a Super Hard License."""
