Title#0,"""Quintessence of Steel"""
Explanation#0,"""惑星・地球の日本近海において<br>巨大幻創種の反応が再発生した。<br>その反応は以前よりもはるかに強力であり<br>本任務の遂行には多大な危険を伴うことが<br>推測される。そのため、本任務の出撃は<br>実績あるアークスに限定する。<br>――――――――――――――――――――<br>Can be done once, rankings in effect.<br>Failure Conditions / Time limit expires"""
SimpleExplanation#0,"""Defeat the Phantom Battleship Yamato!"""
a1#0,"""Complete a certain Client Order."""
a2#0,"""Complete a certain Client Order."""
a3#0,"""Possess a Super Hard License."""
a4#0,"""Possess a Super Hard License."""
NpcComMsg1#0,"""再出現した目標は都市部に向けて<br>すでに移動を開始しています。<br>あまり時間の猶予はありません。"""
NpcComMsg2#0,"""再度A.I.Sにて出撃し<br>目標の撃退をお願いします。<br>連戦となりますが、お気をつけて。"""
Area0S#0,"""Japanese Coastal Waters"""
Area0L#0,"""Earth - Japanese Coastal Waters"""
Area1S#0,"""Japanese Coastal Waters"""
Area1L#0,"""Earth - Japanese Coastal Waters"""
