Title#0,"""Hunter Basics"""
Explanation#0,"""■Training Menu<br>――――――――――――――――――――<br>Task 1: Perform a Just Attack PA<br>Task 2: Perform a Just Guard<br>Task 3: Use Photon Arts to Amass Gear<br>Task 4: Use Photon Arts to Amass Gear<br>Task 5: Use Photon Arts to Amass Gear<br>Task 6: Defeat the Enemies"""
SimpleExplanation#0,"""Complete six tasks!"""
Training1#0,"""Perform a Just Attack PA"""
Training2#0,"""Perform a Just Guard"""
Training3#0,"""Use Photon Arts to Amass Gear"""
Training4#0,"""Use Photon Arts to Amass Gear"""
Training5#0,"""Use Photon Arts to Amass Gear"""
Training6#0,"""Defeat the Enemies"""
Retry_1#0,"""Task 1"""
Retry_2#0,"""Task 2"""
Retry_3#0,"""Task 3"""
Retry_4#0,"""Task 4"""
Retry_5#0,"""Task 5"""
Retry_6#0,"""Task 6"""
