Title#0,"""T: The Profound Invasion"""
Explanation#0,"""This is an emergency message for all ARKS.<br>Dark Falz [Elder] has begun an attack on<br>the ARKS fleet.<br>We are also detecting readings from within<br>the corrupted Mothership.<br>This is a grave situation. All members, repel<br>[Elder] then move to intercept the enemies<br>within the corrupted Mothership.<br>――――――――――――――――――――<br>Fail: Fail objective, time limit expires."""
SimpleExplanation#0,"""Defeat both Dark Falz manifestations!"""
Area0S#0,"""ARKS Ship Wreckage """
Area0L#0,"""ARKS Ship Wreckage - Deck Area 1 """
Area1S#0,"""Corrupted Mothership """
Area1L#0,"""Corrupted Mothership - Internal Area 1 """
a1#0,"""Complete a certain Client Order."""
a2#0,"""Complete a certain Client Order."""
a3#0,"""Possess a Super Hard License."""
a4#0,"""Possess a Super Hard License."""
NpcComMsg1#0,"""Looks like you're ready. You<br>can expect the Dark Falz<br>to give you a tough battle..."""
NpcComMsg2#0,"""First, we're going to put you<br>down in front of [Elder].<br>Defeat it as fast as you can,<br>then get ready for the next<br>one. It'll be tough, but...<br>You have to survive."""
NpcComMsg1#1,"""So... [Loser] has finally shown itself.<br>We'll begin transferring you to the<br>location of this Dark Falz shortly."""
NpcComMsg2#1,"""I know you're exhausted from the<br>battle with [Elder], but you're all<br>we have. Please... come back safely."""
