Title#0,"""EX Solo: Cielo e Infierno"""
Explanation#0,"""Con el fin de medir tu capacidad<br>de lucha en condiciones extremas,<br>hemos hecho un nuevo programa.<br>Esto es para ARKS que tienen confianza<br>para aumentar sus habilidades<br>la mision es extremadamente peligrosa.<br>necesaria <red>5 [Extreme Pass]<c><br>para participar en esta mision.<br>――――――――――――――――――――<br>Fracaso: Retirarse despues de ser incapacitado"""
SimpleExplanation#0,"""Completa 5 niveles!"""
Area0S#0,"""Espacio VR (Extremo) Area"""
Area0L#0,"""Espacio VR (Extremo) Area"""
Area1S#0,"""Espacio VR (Extremo) Area"""
Area1L#0,"""Espacio VR (Extremo) Area"""
Area2S#0,"""Espacio VR (Extremo) Area"""
Area2L#0,"""Espacio VR (Extremo) Area"""
Area3S#0,"""Espacio VR (Extremo) Area"""
Area3L#0,"""Espacio VR (Extremo) Area"""
Area4S#0,"""Espacio VR (Extremo) Area"""
Area4L#0,"""Espacio VR (Extremo) Area"""
QuestInfoAreaName#0,"""Espacio VR (Extremo)"""
a2#0,"""Debes pagar 1 Extreme Pass<br>en el campship."""
