Title#0,"""Gunner Basics"""
Explanation#0,"""■Training Program<br>――――――――――――――――――――<br>Task 1: Twin Machinegun Gear training<br>Task 2: Stylish Roll training<br>Task 3: Using Chain Trigger<br>Task 4: Live combat"""
SimpleExplanation#0,"""Complete four tasks!"""
Training1#0,"""Use Photon Arts to Amass Gear"""
Training2#0,"""Movement with S-Rolls"""
Training3#0,"""Successfully Perform Chain Finish"""
Training4#0,"""Defeat the Enemies"""
Retry_1#0,"""Task 1"""
Retry_2#0,"""Task 2"""
Retry_3#0,"""Task 3"""
Retry_4#0,"""Task 4"""
