Title#0,"""T:採掘基地防衛戦：絶望"""
Explanation#0,"""アークス各員に緊急連絡。<br>惑星リリーパの採掘基地周辺に<br>強力な多数のダーカー反応を確認した。<br>既に侵食は進み、絶望的な状況下にある。<br>だが、我々は諦めるわけにはいかない。<br>拠点防衛用に新たに開発された<br>A.I.Sを駆使し、ダーカーを迎撃せよ。<br>――――――――――――――――――――<br>全8ウェーブ<br>失敗条件/全拠点の陥落"""
SimpleExplanation#0,"""Defiende la base minera!"""
Wave1_Talk#0,"""Los Darkers han llegado!<br>y estan corrompiendo los Socket de defensas tambien...<br>por favor, trabajen en conjunto para derrotar a!"""
Wave2_Talk#0,"""Torretas Darker confirmadas!<br>Activa tu A.I.S forza al enemigo<br>a retirarse!"""
Wave3_Talk#0,"""There's an unconfirmed reaction in the sky!<br>Something may be coming...<br>Porfavor, ten cuidado!"""
Wave4_Talk#0,"""We have reactions coming from multiple locations! Bevcareful not to get attacked all at once!"""
Wave5_Talk#0,"""また新しい反応ですー！<br>ダーカーの障壁も発生するかも<br>しれません！\u3000要注意です！"""
Wave6_Talk#0,"""これが最後……にしては<br>なんだかまだ反応あるような……？<br>と、とにかく頑張ってください！"""
Wave7_Talk#0,"""W-W-Wha!? What is this?!<br>This is the first time we've seen such a powerful<br>enemy reaction! Porfavor be very careful!"""
Wave8_Talk#0,"""ま、またすっごい強力な敵さんが<br>来るみたいです！\u3000でもきっとこれが<br>最後のはず！\u3000頑張ってくださいっ！"""
Wave1_Talk_Cool#0,"""正結晶はエリアの四隅にたくさん<br>出るみたいです！\u3000カタパルトを<br>使うと回収しやすいですよ！"""
Wave2_Talk_Cool#0,"""侵食されたソケットを放っておくと<br>ダーカーの砲台が発生しちゃうかも。<br>注意して下さい！"""
Wave3_Talk_Cool#0,"""Hay varias funciones que se pueden utilizar para defender <br>las bases! Asegurese de utilizar la recuperacion de la salud y <br> usar las barreras tambien!"""
Wave4_Talk_Cool#0,"""¡Mira! El brillo de los cristales parecen brillar mas!<br>Sigan aumentando los puntos!"""
Wave5_Talk_Cool#0,"""Recuerde que debe purificar las tomas infectadas... De lo contrario, la corrupcion va a crecer. Preparese para el proximo ataque!"""
Wave6_Talk_Cool#0,"""次の反応は大きいみたいですよー！<br>A.I.Sの準備は大丈夫ですか？<br>フォトン粒子砲もお忘れなく！"""
Wave7_Talk_Cool#0,"""お疲れ様でしたー！\u3000<br>これにて防衛終了ですっ……あれ？<br>待ってください。今、何か反応が……"""
Wave8_Talk_Cool#0,"""次の襲撃が来る前に、正結晶を<br>たっくさん回収しておいてください！<br>今度の反応は、とってもヤバいです！"""
NpcComMsg1#0,"""まもなく状況開始です！\u3000既に侵食が<br>かなーり進んじゃっているようなので<br>くれぐれも注意してくださいっ！"""
NpcComMsg2#0,"""こういう時は、A.I.Sで<br>敵さんを蹴散らしちゃいましょう！<br>それでは、ご武運を！"""
a1#0,"""Completar cierta orden del cliente."""
a2#0,"""Completar cierta orden del cliente."""
a3#0,"""Poseer la Licencia para Super Dificil."""
a4#0,"""Poseer la Licencia para Super Dificil."""
