Title#0,"""T: Necky's Challenge!"""
Explanation#0,"""アークスのみんな！<br>ボクの挑戦を受けてみないかい？<br>ＶＲ空間に再現した惑星リリーパ採掘基地。<br>その全拠点を迫り来る他惑星のエネミーから<br>守りきるっていう、特別なクエストさ！<br>A.I.Sは使用禁止、他にもいろいろ制限アリの<br>ハードなクエスト、乗り越えられるかな！<br>――――――――――――――――――――<br>All 6 Waves<br>Failure Conditions / All bases fall"""
SimpleExplanation#0,"""Defend the Mining Base!"""
Wave1_Talk#0,"""***"""
Wave2_Talk#0,"""***"""
Wave3_Talk#0,"""***"""
Wave4_Talk#0,"""***"""
Wave5_Talk#0,"""***"""
Wave6_Talk#0,"""***"""
Wave1_Talk_Cool#0,"""***"""
Wave2_Talk_Cool#0,"""***"""
Wave3_Talk_Cool#0,"""***"""
Wave4_Talk_Cool#0,"""***"""
Wave5_Talk_Cool#0,"""***"""
Wave6_Talk_Cool#0,"""***"""
NpcCom00#0,"""***"""
NpcCom01#0,"""***"""
NpcCom02#0,"""***"""
NpcCom03#0,"""***"""
NpcCom04#0,"""***"""
NpcCom05#0,"""***"""
NpcCom06#0,"""***"""
NpcCom07#0,"""***"""
NpcCom08#0,"""***"""
NpcCom09#0,"""***"""
NpcCom10#0,"""***"""
NpcCom11#0,"""***"""
NpcCom12#0,"""***"""
NpcCom12_Last#0,"""***"""
NpcCom13#0,"""***"""
NpcCom14#0,"""***"""
NpcCom15#0,"""***"""
NpcCom16#0,"""***"""
barricade0#0,"""***"""
barricade1#0,"""***"""
barricade2#0,"""***"""
NpcComMsg1_Meritta#0,"""***"""
NpcComMsg2_Meritta#0,"""***"""
NpcComMsg1#0,"""***"""
NpcComMsg2#0,"""***"""
NpcComMsg3#0,"""***"""
a1#0,"""Complete a certain Client Order."""
a2#0,"""Complete a certain Client Order."""
a3#0,"""Possess a Super Hard License."""
a4#0,"""Possess a Super Hard License."""
