Title#0,"""境界を貫く双角の凶鳥"""
Explanation#0,"""惑星ナベリウスの壊世区域において<br>突如、世壊種だけでなく、原生種や<br>龍族、機甲種に海王種などのエネミーが<br>発生した。またその現象との関連は不明だが<br>局所的な激しい雷雨の発生と正体不明の<br>有翼型エネミーの出現も確認されている。<br>アークス各員は、至急現地に赴き<br>該当個体を調査し、必要に応じて討伐せよ。<br>――――――――――――――――――――<br>失敗条件/最深部での敗北"""
SimpleExplanation#0,"""¡Derrotar al culpable detras del accidente!"""
NpcComMsg1#0,"""Las lecturas de Anga Fundarge han<br>sido detectadas mas adelante."""
NpcComMsg2#0,"""現在、要調査対象とされている<br>正体不明の有翼型エネミーとは<br>違いますが、放ってはおけません。"""
NpcComMsg3#0,"""No tenemos certesa de que esto<br>es causado por un clima anormal...<br>Por favor derrota al culpable inmediatamente."""
NpcComMsg1#1,"""¡G……dian！\u3000……¡Todos！\u3000¡Todos<br>por favor respondan! Que<br>alivio... Nuestra comunicación no desaparecio"""
NpcComMsg2#1,"""¿Que es este lugar?...<br>Nuestras coordenadas dicen que es<br>Naberius... Pero esto..."""
NpcComMsg3#1,"""今まで起きていた異変も、この先に潜む<br>エネミーによる影響でしょうか？<br>嫌な予感がします、どうか気を付けて。"""
a1#0,"""Completa cierta orden de un cliente."""
a2#0,"""Completa cierta orden de un cliente."""
a3#0,"""Poseer la licencia para Super Difícil."""
a4#0,"""Poseer la licencia para Super Difícil."""
