Title#0,"""Endless Darkness"""
Explanation#0,"""『守護輝士』に緊急連絡。<br>惑星ナベリウス上空に【深遠なる闇】と<br>【双子】が出現した。<br>これまでに培ったすべての力を用いて<br>単独でこれを撃破せよ。<br>極めて危険な任務だが完遂を望む。<br>――――――――――――――――――――<br>クエストクリア可能回数/１回<br>失敗条件/任務の失敗、制限時間の経過"""
SimpleExplanation#0,"""Defeat the [Profound Darkness]"""
a1#0,"""Complete a certain Client Order."""
a2#0,"""Complete a certain Client Order."""
a3#0,"""Possess a Super Hard License."""
a4#0,"""Possess a Super Hard License."""
Area0S#0,"""Skies of Naberius"""
Area0L#0,"""Skies of Naberius: Shuttle"""
Area1S#0,"""The End of the World"""
Area1L#0,"""The End of the World"""
Area1S#1,"""Point of Return"""
Area1L#1,"""Point of Return"""
NpcComMsg1#0,"""You'll be transported to the front soon. Your objective is to forge a path to the [Profound Darkness] by destroying Dark Falz [Double]."""
NpcComMsg2#0,"""This enemy Dark Falz... we cannot even fathom the depths of its power. Be careful, and, please, come back to us safe and sound..."""
NpcComMsg1#1,"""You've opened a path to the [Profound Darkness]. All that remains is for you to take down this powerful foe."""
NpcComMsg2#1,"""We have no detailed orders or instructions for you. Fight bravely, and make it through this alive... That's an order. That is an order!"""
