Title#0,"""覚悟"""
Explanation#0,"""マザー・クラスタに攫われた<br>ヒツギを救出するため<br><%me>とエンガは<br>マザー・クラスタの本拠地がある<br>月へと向かう。<br>いかなる敵が待ち受けているか<br>不明だとしても。<br>――――――――――――――――――――<br>失敗条件/戦闘不能後、リタイアを選択<br>"""
SimpleExplanation#0,"""？？？"""
QuestInfoPlanetName#0,"""Satelite: Luna"""
Area0S#0,"""放棄施設"""
Area0L#0,"""Satelite: Instalaciones Lunares Abandonadas"""
Area1S#0,"""放棄施設"""
Area1L#0,"""Satelite: Instalaciones Lunares Abandonadas"""
Area2S#0,"""放棄施設"""
Area2L#0,"""Satelite: Instalaciones Lunares Abandonadas"""
Area3S#0,"""放棄施設"""
Area3L#0,"""Satelite: Instalaciones Lunares Abandonadas"""
Area4S#0,"""ショップエリア"""
Area4L#0,"""アークスシップ\u3000ショップエリア"""
a1#0,"""Completar cierta orden de cliente."""
a2#0,"""Completar cierta orden de cliente."""
a3#0,"""Posesion de la licencia Super Dificil."""
a4#0,"""Posesion de la licencia Super Dificil."""
