Title#0,"""Techer Basics"""
Explanation#0,"""■Training Menu<br>――――――――――――――――――――<br>課題１：ウォンドのギア訓練<br>課題２：レスタの使用<br>課題３：ザンバースの使用<br>課題４：ゾンディールの使用<br>課題５：実戦訓練"""
SimpleExplanation#0,"""Complete five tasks!"""
Training1#0,"""Attack with a tech-explosion"""
Training2#0,"""Restore HP with Resta"""
Training3#0,"""Inflict Extra Damage with Zanverse"""
Training4#0,"""Gather Enemies with Zondeel"""
Training5#0,"""Defeat the Enemies"""
Retry_1#0,"""Task 1"""
Retry_2#0,"""Task 2"""
Retry_3#0,"""Task 3"""
Retry_4#0,"""Task 4"""
Retry_5#0,"""Task 5"""
