Title#0,"""Braver Basics"""
Explanation#0,"""■Training Menu<br>――――――――――――――――――――<br>課題１：フォトンアーツのジャストアタック<br>課題２：カウンター訓練<br>課題３：カタナのギア訓練<br>課題４：肩越し視点でバレットボウの使用<br>課題５：実戦訓練"""
SimpleExplanation#0,"""Complete five tasks!"""
Training1#0,"""Perform a Just Attack PA"""
Training2#0,"""カウンターを成功させる"""
Training3#0,"""ギアをためてカウンター成功"""
Training4#0,"""肩越し視点で弱点部位を狙う"""
Training5#0,"""Defeat the Enemies"""
Retry_1#0,"""Task 1"""
Retry_2#0,"""Task 2"""
Retry_3#0,"""Task 3"""
Retry_4#0,"""Task 4"""
Retry_5#0,"""Task 5"""
