Title#0,"""Bouncer Basics"""
Explanation#0,"""■Training Menu<br>――――――――――――――――――――<br>課題１：フォトンアーツのジャストアタック<br>課題２：武器アクションとフォトンブレード<br>課題３：武器属性の上書き<br>課題４：派生攻撃の使用<br>課題５：２段ジャンプ訓練<br>課題６：実戦訓練"""
SimpleExplanation#0,"""Complete six tasks!"""
Training1#0,"""Perform a Just Attack PA"""
Training2#0,"""Perform a Weapon Action"""
Training3#0,"""Use Photon Blades"""
Training4#0,"""Charge Foie"""
Training4_1#0,"""ギアをためて通常攻撃"""
Training4_2#0,"""バータをチャージして通常攻撃"""
Training5#0,"""派生攻撃を行う"""
Training6#0,"""目標地点に辿り着く"""
Training7#0,"""Defeat the Enemies"""
Retry_1#0,"""Task 1"""
Retry_2#0,"""Task 2"""
Retry_3#0,"""Task 3"""
Retry_4#0,"""Task 4"""
Retry_5#0,"""Task 5"""
Retry_6#0,"""Task 6"""
Retry_7#0,"""Task 7"""
