Title#0,"""The Profound Invasion"""
Explanation#0,"""アークス各員に緊急連絡。<br>ダークファルス【巨躯】による<br>アークスシップへの襲撃が開始された。<br>また、侵食された旧マザーシップ内からも<br>強大なダーカー反応が確認されている。<br>事態は深刻だ。各員、準備が出来次第<br>【巨躯】の襲撃を速やかに阻止し<br>旧マザーシップに現れた敵を迎撃せよ。<br>――――――――――――――――――――<br>Fail: Fail objective, time limit expires."""
SimpleExplanation#0,"""Defeat both Dark Falz manifestations!"""
Area0S#0,"""ARKS Ship Wreckage """
Area0L#0,"""ARKS Ship Wreckage - Deck Area 1 """
Area1S#0,"""Corrupted Mothership """
Area1L#0,"""Corrupted Mothership - Internal Area 1 """
a1#0,"""Complete a certain Client Order."""
a2#0,"""Complete a certain Client Order."""
a3#0,"""Possess a Super Hard License."""
a4#0,"""Possess a Super Hard License."""
NpcComMsg1#0,"""Looks like you're ready. You<br>can expect the Dark Falz<br>to give you a tough battle..."""
NpcComMsg2#0,"""First, we're going to put you<br>down in front of [Elder].<br>Defeat it as fast as you can,<br>then get ready for the next<br>one. It'll be tough, but...<br>You have to survive."""
NpcComMsg1#1,"""So... [Loser] has finally shown itself.<br>We'll begin transferring you to the<br>location of this Dark Falz shortly."""
NpcComMsg2#1,"""I know you're exhausted from the<br>battle with [Elder], but you're all<br>we have. Please... come back safely."""
