Title#0,"""Progeny of the Apocalypse"""
Explanation#0,"""アークス各員に緊急連絡。<br>惑星ナベリウス上空に【深遠なる闇】と<br>【双子】が出現し、地表に向けて侵攻を<br>開始した。【双子】は【深遠なる闇】への<br>進路を阻むように存在し、連戦は確実だ。<br>侵攻を阻止し、敵性存在を殲滅せよ。<br>――――――――――――――――――――<br>Quest Clear Limit / Only once<br>Ranking Period / 1 Hour 30 Minutes From Start of Emergency<br>Fracaso: fallas el objetivo si Finaliza el tiempo limite"""
SimpleExplanation#0,"""Derrotar a [Profound Darkness]"""
Area0S#0,"""Cielos de Naberius"""
Area0L#0,"""Cielos de Naberius: Lanzadera"""
Area1S#0,"""El Fin del Mundo"""
Area1L#0,"""El Fin del Mundo"""
Area1S#1,"""Punto de Regreso"""
Area1L#1,"""Punto de Regreso"""
a1#0,"""Completar cierta orden del cliente."""
a2#0,"""Completar cierta orden del cliente."""
a3#0,"""Poseer la licencia para Super Dificil."""
a4#0,"""Poseer la licencia para Super Dificil."""
NpcComMsg1#0,"""Seras transportado a la parte delantera pronto. Su objetivo es forjar un camino hasta [Profound Darkness] y  destruir al Falz [Double]."""
NpcComMsg2#0,"""Este Dark Falz... ni siquiera pude sondear su poder. Ten cuidado... y por favor, vuelve a nosotros sano y salvo .."""
NpcComMsg1#1,"""Has abierto un camino hasta [Profound Darkness]. Todo lo que queda es enfrentar a este poderoso enemigo."""
NpcComMsg2#1,"""No tenemos ordenes o instrucciones detalladas para ti. Lucha con valor, y vuelve con vida... Es una orden. Es una orden!"""
