Title#0,"""T: Base Defense: Incursion"""
Explanation#0,"""アークス各員に緊急連絡。<br>惑星リリーパの採掘基地周辺に<br>多数のダーカーの反応を確認した。<br>新たに設置された防護壁によって<br>全基地への同時襲撃は回避できるが<br>防護壁の耐久力にも限度がある。<br>各員、ダーカーの侵入を阻止、撃退せよ。<br>――――――――――――――――――――<br>Clear 6 waves<br>Fail: All bases lost"""
SimpleExplanation#0,"""Defend the Mining Base!"""
Wave1_Talk#0,"""Darkers have appeared!<br>It's unclear which base they will attack.<br>Work together to defend the base!"""
Wave2_Talk#0,"""Here comes the next Darker attack!<br>Everyone, work together<br>to defend the base!"""
Wave3_Talk#0,"""U-unidentified readings!<br>I think the Darkers are bringing out the big guns!<br>Locate and destroy their weapons!"""
Wave4_Talk#0,"""Wh-whoa! We're picking up a lot of strong readings! Please, be careful!"""
Wave5_Talk#0,"""Wh-whoa, these are incredibly strong readings...!<br>Massive Darkers may show up soon!"""
Wave6_Talk#0,"""This seems to be the last one!<br>Hang on just a bit longer!<br>Keep protecting that base!"""
NpcComMsg1#0,"""We'll begin shortly!<br>Based on these readings, the Darkers will be attacking in multiple<br>waves. Please be careful!"""
NpcComMsg2#0,"""You can solidify your defenses by <br>using the energy from dropped crystals.<br>Good luck!  Over and out!"""
a1#0,"""Complete a certain Client Order."""
a2#0,"""Complete a certain Client Order."""
a3#0,"""Possess a Super Hard License."""
a4#0,"""Possess a Super Hard License."""
