Title#0,"""경계를 떠도는 칠흑의 기사"""
Explanation#0,"""행성 나베리우스의 유적 에어리어에<br>원생종을 비롯한 온갖 에너미가<br>나타나고 있다.<br>국지적인 이상 기후도 발생했으며<br>그 중심에서는 현상의 원인으로 보이는<br>비정상적인 반응이 확인됐다.<br>아크스는 즉시 출격해 현상을 조사하라.<br>――――――――――――――――――――<br>퀘스트 중/HP 회복 방해 있음<br>실패 조건/특정 공격 발동"""
SimpleExplanation#0,"""이변을 일으키는 원흉을 격파하라!"""
NpcComMsg1#0,"""이번 임무의 목적은 유적 에어리어에서<br>확인된 이상 현상을 조사하는 것!<br>…입니다만."""
NpcComMsg2#0,"""어둡고 으스스한 분위기네요…<br>망령이나 유령 같은 엄청난 것이<br>나올 것만 같아요…"""
NpcComMsg3#0,"""그리고 선견대 보고에 따르면<br>레스타 같은 체력 회복 효과가<br>방해받는다고 합니다. 조심하세요."""
NpcComMsg1#1,"""…여러분!<br>모두 들리시나요!?<br>다행이다… 통신은 되는 것 같네요."""
NpcComMsg2#1,"""그런데 여긴 어디죠?<br>행성 나베리우스의… 삼림?<br>아니, 이런 좌표는 있을 수 없는데…"""
NpcComMsg3#1,"""무언가가 차원을 왜곡하고 있다…?<br>하지만 그럴 수 있는 상대라면…<br>…아무튼 경계해 주세요!"""
a1#0,"""특정 클라이언트 오더 클리어"""
a2#0,"""특정 클라이언트 오더 클리어"""
a3#0,"""슈퍼 하드 수주 허가증 소지"""
a4#0,"""슈퍼 하드 수주 허가증 소지"""
Area2S#0,"""????"""
Area2L#0,"""????"""
