Title#0,"""Hero Basics"""
Explanation#0,"""課題１：ソードの長押し派生攻撃の使用<br>課題２：ソードの通常気弾、チャージ気弾の使用<br>課題３：ツインマシンガンの使用<br>課題４：ツインマシンガンのリロードの使用<br>課題５：タリスの通常攻撃とPAの使用<br>課題６：タリスのＰＡを組み合わせての使用<br>課題７：タリスの武器アクションで高速移動<br>課題８：ヒーローギアをためる<br>課題９：ヒーロータイムフィニッシュの使用<br>課題１０：実戦訓練"""
SimpleExplanation#0,"""Complete ten tasks!"""
Training1#0,"""派生攻撃をエネミーに当てる"""
Training2#0,"""気弾をエネミーに当てる"""
Training2_1#0,"""チャージ気弾をエネミーに当てる"""
Training3#0,"""通常攻撃でエネミーを殲滅"""
Training4#0,"""リロードを2秒間成功させる"""
Training4_1#0,"""ジャストリロードを2秒間成功させる"""
Training5#0,"""通常攻撃３段目をエネミーに当てる"""
Training5_1#0,"""ジェットホイールをエネミーに当てる"""
Training6#0,"""タリスの派生アクションを発動する"""
Training7#0,"""高速移動を3回行う"""
Training8#0,"""ヒーローギアをためる"""
Training9#0,"""ヒーロータイムフィニッシュを発動する"""
Training10#0,"""エネミーを殲滅する"""
Retry_1#0,"""Task 1"""
Retry_2#0,"""Task 2"""
Retry_3#0,"""Task 3"""
Retry_4#0,"""Task 4"""
Retry_5#0,"""Task 5"""
Retry_6#0,"""Task 6"""
Retry_7#0,"""Task 7"""
Retry_8#0,"""Task 8"""
Retry_9#0,"""Task 9"""
Retry_10#0,"""Task 10"""
