Title#0,"""Solo Training: Phanatical Phantoms"""
Explanation#0,"""こちらは相応の実力を持つ者を対象とした<br>特別訓練プログラムである。的確な判断を<br>瞬時に下せる技術を身に付けるため、全て<br>「単独」で行い本プログラムを制覇せよ。<br>なお、危険性の高い訓練プログラムのため<br>「エクストリームパス」が必要となる。<br>――――――――――――――――――――<br>ダークブラスト使用不可<br>スケープドール・ハーフドール使用禁止<br>失敗条件/戦闘不能 """
SimpleExplanation#0,"""Clear 5 stages!"""
Area0S#0,"""VR Space (Extreme) Area"""
Area0L#0,"""VR Space (Extreme) Area"""
Area1S#0,"""VR Space (Extreme) Area"""
Area1L#0,"""VR Space (Extreme) Area"""
Area2S#0,"""VR Space (Extreme) Area"""
Area2L#0,"""VR Space (Extreme) Area"""
Area3S#0,"""VR Space (Extreme) Area"""
Area3L#0,"""VR Space (Extreme) Area"""
Area4S#0,"""VR Space (Extreme) Area"""
Area4L#0,"""VR Space (Extreme) Area"""
QuestInfoAreaName#0,"""VR Space (Extreme)"""
a2#0,"""You must pay 1 Extreme Pass<br>on the Campship."""
