Title#0,"""MISSION：決断"""
Explanation#0,"""アークスの訓練用プログラム、第二弾です。<br>舞台は凍土、地下坑道、浮遊大陸となり<br>支援物資かチャレンジマイルのどちらかを<br>選択し、クリアを目指していただきます。<br><br>初期装備や所持品は一切なく、全てが<br>現地調達となります。ご注意ください。<br>――――――――――――――――――――<br>目標/５つのミッションのクリア<br>※ミッション６以降はありません。"""
SimpleExplanation#0,"""¡Completa 5 misiones!"""
Area0S#0,"""ミッション1"""
Area0L#0,"""Nave ARKS - Espacio virtual (Tundra) - Misión 1"""
Area1S#0,"""Misión 2"""
Area1L#0,"""Nave ARKS - Espacio virtual (Tuneles) - Misión 2"""
Area2S#0,"""Misión 3"""
Area2L#0,"""Nave ARKS - Espacio virtual (Skyscape) - Misión 3"""
Area3S#0,"""Misión 4"""
Area3L#0,"""Nave ARKS - Espacio virtual (Tundra) - Misión 4"""
Area4S#0,"""Misión 5"""
Area4L#0,"""Nave ARKS - Espacio virtual (Corrupt Tunnels) - Misión 5"""
Area21S#0,"""Área de descanso 1"""
Area21L#0,"""Nave ARKS - Espacio virtual (Skyscape) - Área de descanso 1"""
Area23S#0,"""Área de descanso 2"""
Area23L#0,"""Nave ARKS - Espacio virtual (Tuneles) - Área de descanso 2"""
NpcComMsg1#0,"""The challenge will begin shortly.<br>Clear five misiones before<br>running out of VR energy."""
NpcComMsg2#0,"""Tu inventario aquí se basara en lo que recojas.<br>Este es un ejercicio de entrenamiento intensivo<br>en el que te adaptaras sobre la marcha. Buena suerte!"""
NPCArea0#0,"""/atime2.5 /voice11_voice_navi07_013 está es la misión 1.<br>En primer lugar recoger los objetos de los contenedores<br>y derrotar a los enemigos."""
NPCArea1#0,"""/atime2.5 /voice11_voice_navi07_014 En la Misión 2, la oscuridad se producira a intervalos regulares.<br>Parece que hay alguna relación con el movimiento<br>de la planta con pinchos y la oscuridad."""
NPCArea3#0,"""/atime2.5 /voice11_voice_navi07_016 En la Misión 4. En está área, las capsulas de energia estan disponibles<br>solo en D-2 y A-2."""
NPCArea4#0,"""/atime2.5 /voice11_voice_navi07_017 En la Misión 5.<br>Este es el objetivo final.<br>Push hasta el limite!"""
