Title#0,"""Judgment Day"""
Explanation#0,"""\""Naberius. Where we promised. I'll be waiting.\""<br>Words spoken by [Persona].<br>That makes your next destination obvious.<br>Ten years ago, a single promise was made<br>on Naberius. A promise with her.<br><br>A promise that only two people should know.<br>All will be revealed at the fated reunion.<br>――――――――――――――――――――<br>Failure: Retire after being incapacitated"""
SimpleExplanation#0,"""???"""
Area0S#0,"""Forest Area"""
Area0L#0,"""Naberius: Forest Area"""
Area1S#0,"""Corrupted Area: Ruins"""
Area1L#0,"""Naberius: Corrupted Ruins"""
Area2S#0,"""Corrupted Area: Forest 1"""
Area2L#0,"""Naberius: Corrupted Forest 1"""
Area3S#0,"""Corrupted Area: Forest 2"""
Area3L#0,"""Naberius: Corrupted Forest 2"""
Area4S#0,"""Corrupted Area: Forest 3"""
Area4L#0,"""Naberius: Corrupted Forest 3"""
Area5S#0,"""Corrupted Area: Ruins"""
Area5L#0,"""Naberius: Corrupted Ruins"""
