Title#0,"""連破演習：闇の痕跡"""
Explanation#0,"""本任務は、実戦演習の一環である。<br>目標到達までの任務時間を競い合うことで<br>より一層の精進を期待する。<br>全エリアのエネミーを一掃し、時間を競う。<br>同時に、各員の共闘能力も測るため<br>本任務はパーティーでの受注を推奨とする。<br>【注意事項】<br>「アイテム」「経験値」を入手できません。<br>――――――――――――――――――――<br>Fracaso: Retirarse despues de ser incapacitado."""
SimpleExplanation#0,"""Ve al area final!"""
a1#0,"""Completar cierta orden del cliente."""
a2#0,"""Completar cierta orden del cliente."""
a3#0,"""Poseer la licencia para Super Dificil."""
a4#0,"""Poseer la licencia para Super Dificil."""
Area0S#0,"""ダーカーの巣窟エリア"""
Area0L#0,"""？？？？\u3000ダーカーの巣窟エリア"""
Area1S#0,"""採掘場跡エリア"""
Area1L#0,"""Lillipa - Cantera Area"""
Area2S#0,"""黒ノ領域エリア"""
Area2L#0,"""惑星ハルコタン\u3000黒ノ領域エリア"""
Area3S#0,"""遺跡エリア"""
Area3L#0,"""Naberius - Ruinas Area"""
