un_020700_0010#0,"""여긴…바닷속!?<br>꼬로로록…수, 숨이…"""
un_020700_0020#0,"""이런~일은 일어나지 않습니다!<br>안심하세요, 파티랍니다!"""
un_020700_0030#0,"""안녕하세요, 티아에요.<br>이제 그냥 귀찮으니 파티는<br>무시해요. 무시무시."""
un_020700_0040#0,"""아니아니, 무시하지 마~!<br>무시하면 더 방정 떨 거야~!"""
un_020700_0050#0,"""방정 떤다는 자각은 있었구나!<br>…하아, 그럼 파티<br>여기 설명같은 거라도 해 봐."""
un_020700_0060#0,"""맡겨만 주시라!<br>여긴 행성 워팔의 지하!<br>이른바 해저 부분!\u3000물은 없지만!"""
un_020700_0070#0,"""원래는 해저…라기보단<br>수몰된 걸로 보이지만<br>지금은 보다시피, 바다 없는 동굴."""
un_020700_0080#0,"""신기한 시설도 여기저기 있어서<br>현재 조사중이지."""
un_020700_0090#0,"""그런 것 치곤 조사결과가 하~나도<br>공표 안 되고 있지만~!"""
un_020700_0100#0,"""소통이 가능한<br>원생주민이 있다는 것도 아는데<br>전달이 안 됐어!\u3000왜지?"""
un_020700_0110#0,"""아직 공표할 정도가 아니라고 판단했거나<br>처음부터 공표할 생각이 없거나…<br>어느 쪽인지 알 수 없을까?"""
un_020700_0120#0,"""그리고, 이 근처의 시설이 파괴된<br>건 최근들어인가 봐.<br>범인도 목적도 아직 불명."""
un_020700_0130#0,"""그 파괴활동 때문에, 가뜩이나<br>난폭한 에너미가 더 흉폭해져서<br>달려드니, 아주 죽겠어!"""
un_020700_0140#0,"""너도 조사에 집중하다<br>당하는 일 없게<br>조심해~!"""
