11_voice_NPC_5591_100#0,"""Hmhm, hmhmh~m♪<br>Oho, it's Leader, isn't it?"""
11_voice_NPC_5591_201#0,"""Why am I in such a good mood? Eheheheh... Why don't you ask Gene about it?"""
11_voice_NPC_5591_109#0,"""あーん！\u3000もう耐えられない！<br>そんなに見ないでぇ！！"""
text02002#0,"""この水着……<br>布が多くて落ち着かないの。<br>もう、思い切って脱いでやろうかしら♪"""
text03001#0,"""アタシも、ジェネちゃんみたいな<br>水着がよかったわぁん……"""
11_voice_NPC_5591_104#0,"""でも……ダァメ！<br>あの水着は、ジェネちゃんこそ！<br>いやぁん！\u3000もう……たまんないわぁ！"""
text04001#0,"""リーダー……<br>そんな恰好で暑くなぁい？"""
11_voice_NPC_5591_201#1,"""暑かったら、脱いじゃいましょう？<br>暑くなくても、脱いじゃいましょ！<br>ほらほらぁん♪"""
11_voice_NPC_5591_202#0,"""うふふ……やーっと<br>ビーチの邪魔者がいなくなったわね！<br>ありがとね、リーダー♪"""
text05002#0,"""それじゃ、この後は……<br>アタシとリーダーで<br>ひと夏のアバンチュールを……"""
11_voice_NPC_5590_103#0,"""ブルージーレクイエム……<br>あまり羽目を外すようなら<br>セラフィさんに報告するわよ。"""
11_voice_NPC_5591_203#0,"""そ、それは……それはダメー！<br>セラフィさんの責め……<br>もう……本気すぎて、アタシでも……"""
11_voice_NPC_5591_204#0,"""「真面目」の書き取り１００回は……<br>うう……わかったわよ。<br>アバンチュールはまた今度……ね？"""
Title#0,"""PSO2es"""
text0001#0,"""For a limited time, the PSO2es characters Gene, Annette, and Bluesy Requiem's Weaponoid are appearing in PSO2!<br><br>PSO2es is a game you can play on your smartphone. You can experience exciting action with simple touch-swipe controls.<br><br>Do battle against mighty enemies with Weaponoids, partners based on familiar weapons from PSO2, at your side!<br>In story mode, experience an epic story in the PSO2 universe, alongside Gene, More and the Darker Busters team, plus new friends like Akhtar, Lien and the Weaponoids!"""
text0002#0,"""PSO2 and PSO2es can be linked to share data. By linking the two games, you can play PSO2es with your PSO2 characters. PSO2es lets you enjoy play PSO2es anytime, anywhere, and improves your efficiency in PSO2 by letting you level up characters on the go, and acquire PSO2es-exclusive items.<br><br>If you're interested, download it now! Play PSO2es, and get to know characters like Gene and Annette! The Darker Busters, the Weaponoids and even more fun characters are waiting for you to start your new adventure!!"""
Title#1,"""PSO2es"""
text0001#1,"""For a limited time, the PSO2es characters Gene, Annette, and Bluesy Requiem's Weaponoid are appearing in swimsuits in PSO2!<br><br>PSO2es is a game you can play on your smartphone. You can experience exciting action with simple touch-swipe controls.<br><br>Do battle against mighty enemies with Weaponoids, partners based on familiar weapons from PSO2, at your side! In story mode, experience an epic story in the PSO2 universe, alongside Gene, More and the Darker Busters team, plus new friends like Akhtar, Lien and the Weaponoids!"""
text0002#1,"""PSO2 and PSO2es can be linked to share data. By linking the two games, you can play PSO2es with your PSO2 characters. PSO2es lets you enjoy play PSO2es anytime, anywhere, and improves your efficiency in PSO2 by letting you level up characters on the go, and acquire PSO2es-exclusive items.<br><br>If you're interested, download it now! Play PSO2es, and get to know characters like Gene and Annette! A new adventure awaits you!!"""
