text202005_1_1#0,"""처음뵙겠습니다.<br>저는, 매지컬 로보★젝트라고 합니다."""
text202005_1_2#0,"""당신이군요?<br>이전에 미타라시 씨 일행과<br>「오더 놀이」하며 놀았던분."""
11_voice_NPC_5634_100#0,"""「오더 놀이」라니…<br>엄청 재밌을 것 같지 않습니까!"""
text202005_1_4#0,"""저희도 하고 싶습니다.<br>부디 「오더 주는 역할」을<br>하게 해주실 수 없을까요?"""
11_voice_NPC_5634_101#0,"""만약, 저희가 내는 오더를<br>「받는 역할」을 하실 거라면<br>한번 더 말을 걸어주세요."""
11_voice_NPC_5634_101#1,"""저는 언제라도 OK에요.<br>확실히 스탠바이를 했으니깐요."""
text202005_2_1#0,"""……"""
text202005_2_2#0,"""앗, 죄송합니다.<br>잠깐 졸고 있었습니다."""
text202005_2_3#0,"""뭘 좀 만드느라<br>밤을 새워버려서요."""
text202005_3_1#0,"""제 레그 파츠를 봐주세요.<br>힐 부분이 엄청나게…<br>야하지 않습니까?"""
text202005_3_2#0,"""이 새끈하고 매끄러운 폼에<br>깊게 새겨진 홈……<br>굉장히 야해요……"""
11_voice_NPC_5634_100#1,"""제트 부츠 좋죠~<br>멋지고, 재밌고."""
text202005_4_2#0,"""그리고, 여성 캐릭터가 신으면<br>밟히고 싶어지네요."""
11_voice_NPC_5634_107#0,"""이야, 엄청 재밌었어요!<br>다음에 또 같이 놀고 싶네요."""
text202005_5_2#0,"""다음에 또 만나면<br>꼭 메카 얘기로 불태워보죠."""
