name_7402#0,"""ウェルミナ"""
ssn_015170_0001#0,"""あっ、新しい“星渡り”のヒトかな？<br>まだここに来たばっかりみたいだね。"""
ssn_015170_0002#0,"""んー、もう少し強くなったら、<br>またあたしに会いにきてね！"""
ssn_015170_0101#0,"""あっ、来てくれたんだね！<br>あたし、アークス操獣教導官のウェルミナだよ。"""
ssn_015170_0102#0,"""……あ、教導官にしては、子供っぽいって思ってるでしょ。<br>こう見えても、たくさん教え子がいるんだからね！"""
ssn_015170_0103#0,"""ま、いいや。キミのことは、よく耳にするよ。<br>だいぶ強くなったみたいだね。"""
ssn_015170_0104#0,"""ウェイカーの戦いかたを知りたいなら、いろいろ教えてあげる。<br>あたしのこと、先生って呼んでもいいよ！"""
ssn_015170_0201#0,"""訓練はしっかりできてるかな？"""
ssn_015170_0202#0,"""ファミリアとのチームワーク、<br>どんどん高めていってね！"""
ssn_015170_0301#0,"""うん、わかったー。<br>また来てね、ぜったいだよ！"""
ssn_015170_0401#0,"""どんどん訓練してね！"""
ssn_015170_0402#0,"""ファミリアと息ぴったり戦えるように、<br>頑張って！"""
