name_7402#0,"""Welmina"""
ssn_015171_0101#0,"""เอาล่ะ! จะเริ่มอธิบายล่ะนะ ตั้งใจฟังให้ดี!"""
ssn_015171_0102#0,"""...เอ๊ะ เดี๋ยวก่อน ดูเหมือนคลาสปัจจุบันของเธอจะไม่ใช่ Waker นะ"""
ssn_015171_0103#0,"""ถ้าอยากเรียนรู้วิธีต่อสู้ของ Waker ก็ไปที่ Class Counter แล้วเปลี่ยนคลาสเป็น Waker ซะนะ เข้าใจไหม?"""
ssn_015171_0104#0,"""แล้วก็ ตอนอยู่ที่นั่นก็ดู Class Skill ของ Waker ให้ดีๆ ด้วยล่ะ เข้าใจไหม? พูดจริงนะ!"""
ssn_015171_0105#0,"""...อืมม แต่เดี๋ยวจะเล่าเรื่องของ Waker ให้ฟังคร่าวๆ ไปก่อนก็แล้วกัน"""
ssn_015171_0106#0,"""Waker จะต่อสู้ร่วมกับ 'Familiars' 3 ชนิดที่แตกต่างกัน นั่นแปลว่าเรามีวิธีรับมือกับศัตรูถึง 3 แบบเลยนะ เจ๋งใช่ไหมล่ะ?"""
ssn_015171_0107#0,"""...หืม? Familiar คืออะไรน่ะเหรอ?"""
ssn_015171_0108#0,"""Familiars ก็เหมือนเป็น 'สหาย' ของ Waker น่ะ--ไม่สิ เหมือนเป็น 'ครอบครัว' มากกว่านะ!"""
ssn_015171_0109#0,"""เราสามารถต่อสู้ร่วมกับ Familiars ของเราได้ หรือจะปล่อยให้พวกเขารับมือกับศัตรูตัวนึงในขณะที่เราไปสู้กับอีกตัวก็ได้"""
ssn_015171_0110#0,"""ไหนดูสิ... ก่อนอื่น อยากให้เรียนรู้ Class Skill 'Takt Gear' กับ 'Familiar Assist' ก่อนน่ะ"""
ssn_015171_0111#0,"""ใช้ Skill ของเธอให้เกิดประโยชน์สูงสุด แล้วสร้างความสัมพันธ์อันดีกับ Familiars ของเธอซะ นั่นคือการบ้านของเธอสำหรับวันนี้!"""
