a1#0,"""Complete a certain Client Order."""
a2#0,"""Complete a certain Client Order."""
a3#0,"""Possess a Super Hard License."""
a4#0,"""Possess a Super Hard License."""
a5#0,"""Possess a Super Hard License."""
Title#0,"""T:Merry Christmas On Ice 2019"""
Explanation#0,"""Numerous hostile readings, including<br>Darkers, have appeared at the Christmas<br>party venue on planet Naberius.<br>Amongst these readings, we are picking<br>up resonating and enhanced enemies.<br>All ARKS, dispatch as soon as you are<br>ready and ensure the safety of the venue.<br>――――――――――――――――――――<br>Points are shared amongst the room.<br>Quest ends when time limit expires."""
NpcComMsg1#0,"""Now beginning the transfer.<br>The purpose of this operation is to suppress the hostile lifeforms threatening the safety of the venue."""
NpcComMsg2#0,"""The combat zone has expanded beyond the venue itself.<br>Extremely powerful individuals have been detected, and we have also confirmed enemy resonance readings."""
NpcComMsg3#0,"""Don't let your guard down.<br>Complete this operation as quickly as you can and ensure the venue's safety."""
SimpleExplanation#0,"""Defeat the enemies within the time limit!"""
Area0S#0,"""Tundra Area 1"""
Area0L#0,"""Planet Naberius: Tundra Area 1"""
Area1S#0,"""Tundra Area 2"""
Area1L#0,"""Planet Naberius: Tundra Area 2"""
