name_7200#0,"""Карутевье"""
ssn_012051_0104#0,"""Ну, это и не такой уж сложный момент."""
ssn_012051_0105#0,"""Оружие и броню можно заточить в лаборатории предметов.<br>Однако, есть предел того, насколько его можно заточить."""
ssn_012051_0106#0,"""И я как раз говорю о том,.. как преодолеть этот предел."""
ssn_012051_0107#0,"""Лучше попробовать на практике, чем слушать просто в теории.<br>Вот, я дам вам это, так что идите в лабораторию."""
ssn_012051_0401#0,"""Вы получили: Prim Sword (10 шт), Монотит (10 шт), и 10000<pict reb_meseta>-месеты."""
ssn_012051_0402#0,"""Вы получили: Prim Knuckles (10 шт), Монотит (10 шт), и 10000 <pict reb_meseta>-месеты."""
ssn_012051_0403#0,"""Вы получили: Prim Rifle (10 шт), Монотит (10 шт), и 10000 <pict reb_meseta>-месеты."""
ssn_012051_0404#0,"""Вы получили: Prim Machineguns (10 шт)、Монотит (10 шт), и 10000 <pict reb_meseta>-месеты."""
ssn_012051_0405#0,"""Вы получили: Prim Rod (10 шт), Монотит (10 шт), и 10000 <pict reb_meseta>-месеты."""
ssn_012051_0406#0,"""Вы получили: Prim Wand (10 шт), Монотит (10 шт), и 10000 <pict reb_meseta>-месеты."""
ssn_012051_0407#0,"""Вы получили: Prim Katana (10 шт), Монотит (10 шт), и 10000 <pict reb_meseta>-месеты."""
ssn_012051_0408#0,"""Вы получили: Prim Boots (10 шт), Monotite (10 шт), и 10000 <pict reb_meseta>-месеты."""
ssn_012051_0409#0,"""プリムタクトを10個、モノタイトを30個、デュアロマイトを30個、トライナイトを30個、120,000<pict reb_meseta>メセタを入手しました。"""
ssn_012051_0410#0,"""プリムスラッシュを10個、モノタイトを30個、デュアロマイトを30個、トライナイトを30個、120,000<pict reb_meseta>メセタを入手しました。"""
ssn_012051_0501#0,"""Вы получили: Prim Sword (1 шт), Монотит (2 шт), и 2000 <pict reb_meseta>-месеты."""
ssn_012051_0502#0,"""Вы получили: Prim Knuckles (1 шт), Монотит (2 шт), и 2000 <pict reb_meseta>-месеты."""
ssn_012051_0503#0,"""Вы получили: Prim Rifle (1 шт), Монотит (2 шт), и 2000 <pict reb_meseta>-месеты."""
ssn_012051_0504#0,"""Вы получили: Prim Machineguns (1 шт), Монотит (2 шт), и 2000 <pict reb_meseta>-месеты."""
ssn_012051_0505#0,"""Вы получили: Prim Rod (1 шт), Монотит (2 шт), и 2000 <pict reb_meseta>-месеты."""
ssn_012051_0506#0,"""Вы получили: Prim Wand (1 шт), Монотит (2 шт), и 2000 <pict reb_meseta>-месеты."""
ssn_012051_0507#0,"""Вы получили: Prim Katana (1 шт), Монотит (2 шт), и 2000 <pict reb_meseta>-месеты."""
ssn_012051_0508#0,"""Вы получили: Prim Boots (1 шт), Monotite (2 шт), и 2000 <pict reb_meseta>-месеты."""
ssn_012051_0509#0,"""プリムタクトを1個、モノタイトを5個、デュアロマイトを5個、トライナイトを5個、10,000<pict reb_meseta>メセタを入手しました。"""
ssn_012051_0510#0,"""プリムスラッシュを1個、モノタイトを5個、デュアロマイトを5個、トライナイトを5個、10,000<pict reb_meseta>メセタを入手しました。"""
