name010#0,"""Гуиден"""
name020#0,"""Бурудар"""
text010#0,"""А теперь попробуй подняться вверх подняв светящийся Куб-очко."""
Text_Dash#0,"""Рывок: """
Button_Dash_Pad#0,"""Зажать во время движения <pict 4space><%Avoid><pict 4space>"""
Button_Dash_Key#0,"""Нажать кнопку направления дважды"""
Button_Dash_Key2#0,"""Нажать и во второй раз удерживать"""
Text_DashJump#0,"""Рывок в прыжке: """
Button_DashJump#0,"""Во время рывка <pict 4space><%Jump>"""
Text_DoubleJump#0,"""Двойной прыжок: """
Button_DoubleJump#0,"""Во время прыжка <pict 4space><%Jump>"""
