msc_011170_0010#0,"""...Н-но... Я..."""
msc_011170_0030#0,"""Любой может испугаться во время боя. Не нужно об этом волноваться."""
msc_011170_0040#0,"""..."""
msc_011170_0050#0,"""Не преодолеешь этот страх, и продолжать будет проблематично..."""
msc_011170_0060#0,"""Аина, закрой глаза."""
msc_011170_0070#0,"""За что ты сражешься? То, что ты представляешь - это оно и есть."""
msc_011170_0080#0,"""Хорошо. Поняла?"""
msc_011170_0090#0,"""Народ, возвращайтесь в Централ-Сити и доложите Крофорду."""
msc_011170_0100#0,"""А вы?"""
msc_011170_0110#0,"""А я займусь ещё несколькими DOLLS."""
msc_011170_0120#0,"""...Хорошо."""
msc_011170_0130#0,"""Буду ождать от вас успехов в будущем."""
