msc_010250_0010#0,"""Ого-о, как тут красиво."""
msc_010250_0020#0,"""...Аина."""
msc_010250_0030#0,"""...Хм? Чего?"""
msc_010250_0040#0,"""Ты в порядке?"""
msc_010250_0050#0,"""Угу, в порядке."""
msc_010250_0060#0,"""...Извини. Мне чужды человеческие эмоции."""
msc_010250_0070#0,"""Нет, это вовсе не так... Спасибо, Манон."""
msc_010250_0080#0,"""И тебе спасибо. Буду рада работать вместе."""
msc_010250_0090#0,"""И с Манон тоже."""
msc_010250_0100#0,"""Тот DOLLS... Дарк Фальц, мы обязательно втроём победим его!"""
msc_010250_alpha4_0010#0,"""Ну как, вы отдохнули в общежитии, <%me>?"""
msc_010250_alpha4_0020#0,"""<%me>, сейчас вы начнёте делать<br>свои первые шаги в качестве ARKS."""
name_01#0,"""ナレーション"""
