msc_010060_0010#0,"""Всё ещё прибывают?!"""
msc_010060_0020#0,"""Уоооооооо!!"""
msc_010060_0030#0,"""Отец?!"""
msc_010060_5010#0,"""Ах！"""
msc_010060_5020#0,"""Ура-а!"""
msc_010060_0040#0,"""Хм. Так вот от чего плохое<br>предчувствие."""
msc_010060_0050#0,"""Аина, Манон, вы в порядке?"""
msc_010060_0060#0,"""Отлично.<br>...Что насчёт тебя?"""
msc_010060_0070#0,"""Я Гароа.<br>Будем знакомы."""
msc_010060_0080#0,"""Только что упав, тяжело будет<br>ориентироваться на местности."""
msc_010060_0090#0,"""...Манон довольно многое знает,.."""
msc_010060_0100#0,"""...Но о тебе так не скажешь."""
msc_010060_0110#0,"""...Как на счёт поговорить после возвращения в город?<br>Аина, Манон, вы закончили сбор Resta Sign?"""
msc_010060_0120#0,"""А, точно! Нужно собрать их."""
