msc_011440_5010#0,"""Ха-а!"""
msc_011440_5020#0,"""Давай!"""
msc_011440_5030#0,"""У-ух!"""
msc_011440_5040#0,"""Ха-а-а-а-а!"""
msc_011440_0010#0,"""...Мы победили."""
msc_011440_0020#0,"""Хорошо постаралась, Аина."""
msc_011440_0030#0,"""Спасибо вам!"""
msc_011440_0040#0,"""Ты хорошо двигалась. Ты прилично выросла<br>за столь короткое время."""
msc_011440_0050#0,"""Всё благодаря совету Бурудара."""
msc_011440_0060#0,"""Связь восстановлена.<br>...Пропал сигнал Некс Эарио?<br>Это..."""
msc_011440_0070#0,"""Крофорд, миссия выполнена.<br>Я скоро вернусь."""
msc_011440_0080#0,"""Бурудар!"""
msc_011440_0090#0,"""... Да, буду ждать."""
msc_011440_0100#0,"""... Давай, возвращайся."""
