msc_011260_0010#0,"""Сюда-сюда."""
msc_011260_0020#0,"""Я попыталась выяснить расположение DOLLS<br>по данным, полученным от Крофорда."""
msc_011260_0030#0,"""Похоже, что в этом лесу много сильных врагов."""
msc_011260_0040#0,"""Этот пляж довольно безопасен.<br>...Даже слишком безопасен."""
msc_011260_0050#0,"""А эти руины лаборатории..."""
msc_011260_0060#0,"""Внимание всем ARKS."""
msc_011260_0070#0,"""В “Лесу Резол” и “Руинах лаборатории Ванфорд”<br>подтверждено появление DOLLS."""
msc_011260_0080#0,"""Рядом находящимся ARKS, пожалуйста, будьте наготове."""
msc_011260_0090#0,"""Это Аина."""
msc_011260_0100#0,"""Аина? Что случилось?"""
msc_011260_0110#0,"""Мы можем присоединиться.<br>Что нужно делать?"""
msc_011260_0120#0,"""Тогда, не могли бы вы посетить руины<br>лаборатории Ванфорд? Пожалуйста, по прибытии<br>доложите окружающую обстановку."""
msc_011260_0130#0,"""В лес Резол направится отряд Бурудара."""
msc_011260_0140#0,"""Хорошо. Мы будем выдвигаться."""
msc_011260_0150#0,"""Руины лаборатории...<br>Что ж, возможно это нам сейчас подойдёт."""
msc_011260_0160#0,"""...Похоже, что в той области есть другие ARKS.<br>Присоединитесь к ним и работайте сообща."""
msc_011260_0170#0,"""Принято."""
msc_011260_0180#0,"""Я уже готова. Что насчёт вас двоих?"""
msc_011260_0190#0,"""Сейчас будем!"""
msc_011260_0200#0,"""Как будешь готов(а), давай встретимся у ворот."""
