Title#0,"""신세대를 만드는 환창의 조신"""
Explanation#0,"""행성 지구의 태평양 위에서<br>강력한 환창종의 반응을 확인했다.<br>지구 각지에서 모은 막대한 에텔로<br>세계를 다시 만들려고 하는 모양이다.<br>아크스는 각자 시급히 현지로 향해<br>목표를 격파해 그 목적을 저지하라.<br>――――――――――――――――――――<br>퀘스트 클리어 가능 횟수/$(0)회<br>최대부여 데미지 제한/999999<br>실패 조건/임무 실패, 제한 시간 경과"""
SimpleExplanation#0,"""데우스 에스카를 격퇴하라!"""
a1#0,"""특정 클라이언트 오더 클리어"""
a2#0,"""특정 클라이언트 오더 클리어"""
a3#0,"""슈퍼 하드 수주 허가증 보유"""
a4#0,"""슈퍼 하드 수주 허가증 보유"""
NpcComMsg1#0,"""지금부터 태평양 위에 출현한<br>환창 대륙 중심에 우뚝 선<br>세계수의 소멸 작전을 개시합니다."""
NpcComMsg2#0,"""대상 안에서 날뛰는 환창조신을 쓰러뜨리면<br>세계수는 환창 대륙째로 소멸할 거에요.<br>격전이 예상되니 조심하세요!"""
Area0S#0,"""세계수"""
Area0L#0,"""행성 지구\u3000세계수"""
Area1S#0,"""세계수 정상"""
Area1L#0,"""행성 지구\u3000세계수 정상"""
Area2S#0,"""세계수 정상"""
Area2L#0,"""행성 지구\u3000세계수 정상"""
Area3S#0,"""세계수 정상"""
Area3L#0,"""행성 지구\u3000세계수 정상"""
Area3S#1,"""이스터 섬"""
Area3L#1,"""행성 지구\u3000이스터 섬"""
QuestInfoPlanetName#0,"""행성 지구"""
