Title#0,"""창세를 노래하는 환창의 조신"""
Explanation#0,"""행성 지구의 태평양 위에서<br>또 다시 초 거대 환창종의 반응을 확인했다.<br>예사롭지 않은 거대 반응이 관측되었으며<br>매우 위험한 임무가 될 것이기에 본 임무는<br>숙련된 아크스만 출격을 허가한다.<br>――――――――――――――――――――<br>플레이 가능  횟수$(0)회, 랭킹 있음<br>최대 부여 데미지 제한/999999<br>실패 조건/임무 실패, 제한 시간 경과,<br>\u3000\u3000\u3000\u3000\u3000\u3000\u3000\u3000\u3000전원 합계 5회 전투불능"""
SimpleExplanation#0,"""데우스 에스카를 격퇴하라!"""
a1#0,"""특정 클라이언트 오더 클리어"""
a2#0,"""특정 클라이언트 오더 클리어"""
a3#0,"""슈퍼 하드 수주 허가증 보유"""
a4#0,"""슈퍼 하드 수주 허가증 보유"""
NpcComMsg1#0,"""지금부터 태평양 위에 다시 출현한<br>환창조신의 격퇴 작전을<br>개시합니다."""
NpcComMsg2#0,"""선례도 없는 막대한 힘이 관측되었으며<br>매우 위험한 임무가 될거라<br>예상됩니다."""
NpcComMsg3#0,"""하지만 여러분의 힘을 합치면<br>반드시!\u3000꼭, 이길 수 있을 거에요!<br>부디 조심하세요!"""
Area0S#0,"""세계수"""
Area0L#0,"""행성 지구\u3000세계수"""
Area1S#0,"""세계수 정상"""
Area1L#0,"""행성 지구\u3000세계수 정상"""
Area1S#1,"""이스터 섬"""
Area1L#1,"""행성 지구\u3000이스터 섬"""
QuestInfoPlanetName#0,"""행성 지구"""
TargetExplanation#0,"""퀘스트 목표 「데우스 에스카 그라시아를 격퇴하라!」<br><br><c f0df60>전원 합계 <c ff2020>5회 전투불능<c f0df60> 되면 퀘스트 실패<c>"""
