text00#0,"""What do you want to know?"""
text10#0,"""Learn About Summoner Combat!"""
text20#0,"""Learn About Summoner Raising!"""
text30#0,"""Learn About Pet Characteristics!"""
text50#0,"""Leave"""
text11#0,"""I Want to Summon Pets!"""
text12#0,"""The Pet Received Damage!"""
text13#0,"""The Pet Fainted!"""
text14#0,"""Return"""
text21#0,"""I Want to Level Up My Pet!"""
text22#0,"""Evolve the Pet's Rarity?"""
text23#0,"""What if a Pet Reaches Lv.100?"""
text24#0,"""What is a Candy Box?"""
text25#0,"""What's Recommended for Each Pets?"""
text26#0,"""Candy Box Spots Are Already Taken!"""
text27#0,"""What Candy Box Items Can I Use?"""
text28#0,"""I Want to Compress Candies!"""
text29#0,"""What's the Pet Attribute Cap?"""
text31#0,"""The Pet's Personality?"""
text32#0,"""Maron/Melon's Features"""
text33#0,"""Viola's Features"""
text34#0,"""Synchro's Features"""
text35#0,"""Pet's Form Evolution!"""
text36#0,"""Redran's Features"""
Title#0,"""I Want to Summon Pets!"""
text01#0,"""・Pet Registration<br>You can register new Pets by <yellow>\""Using\""<c> your \""Egg\"" items.<br><br>To set up a Pet on your Weapon Palette, use the equipment menu<br>and equip a \""Takt\"" weapon, then from the left to the right,<br>set your Pet in the following order:<br><br>  ・<yellow>Favorite Pet (from your Pet list)<c><br>  ・Corresponding Pet PA (techniques)<br><br>When using a Pet, your Mag presence will be hidden<br>but all the effects will be applied as usual."""
Title#1,"""I Want to Level Up My Pet!"""
text01#1,"""Your Pets can grow (level up) by using<br>the \""Egg Synthesis\"" menu to gain<br>experience from your leftover eggs.<br><br>Additionally, when you synthesize an egg having<br>a \""positive value\"" the egg's values will also<br>increase your Pet stats.<br>Pet types all have a different \""bonus stats\"" cap.<br><br>Unlike players, Pets can't earn experience<br>from defeating enemies."""
text02#0,"""<yellow>You can successively \""Egg Synthesis\"" 5 times in a row.<c><br>When you reach that limit, you won't be able to synthesize<br>eggs for a while.<br><br>You will progressively recover Synthesis Charges overtime,<br>or you can use your SG to instantly recover them at once.<br><br>When recovering using SG, your next Egg Synthesis will<br>have an experience bonus."""
Title#2,"""What is a Candy Box?"""
text01#2,"""A \""Candy Box\"" is the place where you can<br>store \""Candies\"" having various effects to<br><yellow>strengthen your Pet<c>.<br><br>Each Pet has its own Candy Box.<br><br>Defeat enemies to collect Candies and customize<br>your Pet."""
text02#1,"""\""Candy\"" is the generic name that refers to items that<br>strengthen your Pet abilities. The candy types all<br>have a maximum usage limit.<br>■Max. of 1<br>・Ramune        ・Crepe<br><br>■Max. of 2<br>・Parfait ・Roll  ・Pancake<br><br>■Max. of 3    ■Max. of 4<br>・Cookie         ・Stick<br><br>■Max. of 5    ■Max. of 20<br>・Sandwich      ・Gummy"""
text03#0,"""Once you set a Candy, you can't move it back<br>to your inventory.<br><br>You need a \""Candy Remover\"" to remove a candy<br>or a \""Candy Eraser\"" to erase one.<br><br>Removed candies will return to your inventory<br>but <yellow>erased candies will be destroyed<c>.<br>Please, be careful."""
text00#1,"""What's Recommended for Each Pets?"""
text01#3,"""<yellow>●Characteristics of \""Wanda\""<c><br><br>  Wanda is an easy-to-use and balanced Pet.<br><br>＜Candies for Wanda＞<br> ・\""Steadfast Roll\""<br>  (Reduces damage taken when HP falls below 50%)<br><br> ・\""Conversion Roll\""<br>  (Converts defensive stats to attack)<br><br> ・\""Body Sandwich\""<br>  (Increases defensive stats)"""
text02#2,"""<yellow>●Characteristics of \""Torim\""<c><br><br>  Torim is an offensive Pet having a strong attack power.<br><br>＜Candies for Torim＞<br> ・\""Megaton Parfait\""<br>  (Increases damage dealt to bosses)<br><br> ・\""Daredevil Parfait\""<br>  (Increases PA cost in exchange for increased damage)<br><br> ・\""One Layer Pancake\""<br>  (Increases Pet's elemental attribute)"""
text03#1,"""<yellow>●Characteristics of \""Cery\""<c><br><br>  Cery is a support type Pet focusing on long-range attacks.<br><br>＜Candies for Cery＞<br> ・\""Spirited Parfait\""<br>  (Increases damage of normal attacks)<br><br> ・\""Substitute Roll\""<br>  (Reduces PP consumption while Alter Ego is active)<br><br> ・\""Spirita Cookie\""<br>  (Increases your maximum PP)"""
