11_voice_NPC_5242_101#0,"""Ah, my friend! You have the best timing!"""
favs_before_020#0,"""I have a gift for you, my friend! Please, accept it with my blessing!"""
favs_after_010#0,"""No no, you need not thank me! On the contrary, it is I who is thanking you!"""
favs_after_020#0,"""So long, my friend! May we both enjoy a long and fruitful Summoner life!"""
egg_present_010#0,"""Thank you for coming, my friend! It is not an exaggeration to say that this very moment is the beginning of your life as a Summoner!"""
egg_present_020#0,"""I shall give you a present to start you on your lifelong Summoner journey! Take it, I insist!"""
egg_present_030#0,"""From that egg, your beloved child will be born! The rest is simplicity itself - all you must do is lavish your love upon it!"""
egg_present_040#0,"""I hope you will enjoy your Summoner life! Ah, how cute you are, my children..."""
skit_item_present_5242_000#0,"""Received <yellow><%skit_text><c> from Pietro."""
skit_item_present_5242_000_01#0,"""Received <yellow><%skit_text><c> from Pietro."""
skit_item_present_5242_010#0,"""Received <yellow><%skit_text><c> from Pietro."""
skit_item_present_5242_020#0,"""Received <yellow><%skit_text><c> from Pietro."""
skit_item_present_5242_030#0,"""Received <yellow><%skit_text><c> from Pietro."""
skit_item_present_5242_040#0,"""Received <yellow><%skit_text><c> from Pietro."""
skit_item_present_5242_050#0,"""Received <yellow><%skit_text><c> from Pietro."""
skit_item_present_5242_060#0,"""Received <yellow><%skit_text><c> from Pietro."""
skit_item_present_5242_070#0,"""Received <yellow><%skit_text><c> from Pietro."""
skit_item_present_5242_080#0,"""Received <yellow><%skit_text><c> from Pietro."""
skit_item_present_5242_090#0,"""Received <yellow><%skit_text><c> from Pietro."""
skit_item_present_5242_100#0,"""Received <yellow><%skit_text><c> from Pietro."""
favs_present_add_001#0,"""Received <yellow><%skit_text><c> from Pietro."""
11_voice_NPC_5242_100#0,"""Why, it is my friend! What is it that troubles you? Please, do not hesitate to ask me anything!"""
sierra_020#0,"""...Hmm, have I made any additions to my dear children recently? Ones that look like girls in Halloween costumes?"""
11_voice_NPC_5242_104#0,"""Ah, unfortunately it was not I. I cannot even persuade my beloved children to embody my image."""
sierra_040#0,"""However, speaking from a position of expertise, that child would surely need love just as my own beloved children do."""
sierra_050#0,"""It must be so lonely to be thrust suddenly into this world, not even knowing right from left. Show her the love she needs, my friend!"""
11_voice_NPC_5242_100#1,"""Ah, do not say a word, I know that you have come to me because you wish to become a Summoner! Thank you for giving me your interest!"""
skit01_02#0,"""Well then, I shall explain Summoner to you!"""
11_voice_NPC_5242_100#2,"""Ah, my thanks for your interest! Have you heard of the new class called Summoner?"""
skit02_02#0,"""No no, I could not expect you to. I shall educate you on the wonderfulness of Summoner. That is why I called you over, after all."""
skit02_03#0,"""Now, permit me to explain Summoner to you in detail!"""
skit03_01#0,"""Next, I shall explain Pets, those lovable little ones who fight by your side!"""
11_voice_NPC_5242_101#1,"""These are all the basics you must know about Summoner."""
skit04_02#0,"""To celebrate the beginning of your journey, I will give you a present! Take it, I insist!"""
skit04_03#0,"""From that egg, your beloved child will be born! The rest is simplicity itself! All you must do is lavish your love upon it!"""
skit04_04#0,"""Well then, enjoy your new life as a Summoner! If you have questions, you may come to me at any time!"""
Title#0,"""About Summoner"""
text01#0,"""Summoner is a class that uses \""Takt\"" weapons to command \""Pets\"" to battle enemies.<br><br>They can also cast Techniques and assist their Pets in battle.<br><br>Their ability to attack from long range lets them participate in battles with little risk to themselves."""
Title#1,"""About Pets"""
text01#1,"""Pets' abilities and PAs can be strengthened through Egg synthesis or by equipping Candy.<br><br>An experienced Summoner will prepare a number of Pets ahead of time and switch between them during a battle to maximise effectiveness."""
text02#0,"""・Pet Registration<br>You can register new pets by <yellow>\""Using\""<c> your \""Egg\"" items.<br><br>To set up a pet on your weapon pallet, use the equipment menu<br>and equip a \""Takt\"" weapon, then from the left to the right,<br>set your pet in the following order:<br><br>  ・<yellow>Favorite pet (from your pet list)<c><br>  ・Corresponding pet PA (techniques)<br><br>When using a pet, your Mag presence will be hidden<br>but all the effects will be applied as usual."""
11_voice_NPC_5242_100#3,"""あぁ……なんて美しいんだ<br>僕の愛しい子供達……<br>君達以外、僕には何も見えないよ……"""
st01_020#0,"""過剰なスキンシップもまた、愛らしい。<br>僕に刻まれた生傷は、愛情の証なのさ。"""
11_voice_NPC_5242_100#4,"""子供達を抱く幸せ……<br>それがサモナーというクラスだよ！"""
st01_020#1,"""愛しい子供達と一緒に戦える喜び<br>ぜひ、体験してみて欲しいんだ！"""
11_voice_NPC_5242_100#5,"""子供達にはそれぞれ、ちゃーんと<br>特徴があるんだよ。<br>打撃向きや、法撃向きなど様々さ。"""
st01_020#2,"""どの子が一番……なんてことはない！<br>皆、等しく美しくて、愛しいんだよ。"""
11_voice_NPC_5242_100#6,"""サモナーのタクトを武器と思ってる<br>無粋なアークスもいるようだけど<br>それは違うんだよ。"""
st01_020#3,"""タクトというのは<br>子供達とサモナーを結ぶ手段の一つで<br>連絡を取るためのものなんだ。"""
st01_030#0,"""戦闘中でも濃密なコミュニケーションを<br>取れるように設計されてるんだよ。"""
11_voice_NPC_5242_100#7,"""僕の子供達は僕のことを<br>愛してやまないのさ！"""
st01_020#4,"""どんな行動をとっても<br>僕は全力で受け止めてるからね！"""
st01_010#0,"""子供達は道具ではない。<br>思ってもいなかった行動を<br>とってしまうこともある。"""
st01_020#5,"""だけど、予想を越えたことを<br>してくれることだって、あるんだ。"""
st01_030#1,"""僕の知らない、僕の子供達の姿。<br>それが見られる喜びは<br>何ものにも代えがたいものさ。"""
