text01#0,"""Текущий режим измерения<br>установлен на отсчёт 20 секунд.<br>Пожалуйста, выберите режим."""
text01_2#0,"""Текущий режим измерения<br>установлен на свободный режим.<br>Пожалуйста, выберите режим."""
select01#0,"""Отсчёт 20 секунд"""
select02#0,"""Свободный режим"""
select03#0,"""Выйти"""
text02_select_01#0,"""Выбран режим отсчёта.<br>Измерится урон, который вы<br>можете нанести за 20 секунд,<br>5 раз."""
text02_select_02#0,"""Выбран свободный режим.<br>Он без ограничения по времени,<br>поэтому вы сможете вернуться на<br>челнок, когда хотите закончить."""
text01_sub#0,"""Текущий режим измерения<br>установлен на 20 секунд.<br>Только лидер группы может<br>изменить режим."""
text01_sub_2#0,"""Текущий режим измерения<br>установлен на свободный режим.<br>Только лидер группы может<br>изменить режим."""
end_mes#0,"""Измерение завершено.<br>Хорошо постарались."""
line01#0,"""Выбран режим отсчёта 20 секунд."""
line02#0,"""Выбран свободный режим."""
name01#0,"""Астарта"""
