name010#0,"""グイーデン"""
name020#0,"""브루더"""
text010#0,"""다음은 새로운 기술을 알려주지.<br>월 킥이다."""
text020#0,"""정면에 있는 벽을 넘어보게."""
Text_Dash#0,"""대쉬: """
Button_Dash_Pad#0,"""<%Avoid> 길게 누르기"""
Button_Dash_Key#0,"""이동 키를 2번 길게 누르기"""
Text_DoubleJump#0,"""2단 점프: """
Button_DoubleJump#0,"""점프 중에 <%Jump>"""
text_WallKick#0,"""월 킥: """
Button_WallKick#0,"""점프 중 벽에 닿으면"""
Button_WallKick2_Pad#0,"""<%LStick> 입력 유지"""
Button_WallKick2_Key#0,"""이동 키 입력 유지"""
Button_WallKick2#0,"""점프 중"""
Button_WallKick2_Manual#0,"""벽에 닿으면 <%Jump>"""
