name010#0,"""가로아"""
text010#0,"""왔다! 마을을 지켜야 한다!"""
Text_PA#0,"""포톤 아츠 (PA): """
Text_TEC#0,"""테크닉: """
Button_PATEC#0,"""<%PhotonArts>"""
Text_WA#0,"""무기 액션: """
Button_WA#0,"""<%MainPaletteC>"""
Text_ura_PATEC#0,"""뒷면 팔레트\u3000"""
Text_ura_PA#0,"""뒷면 팔레트PA: """
Text_ura_TEC#0,"""뒷면 팔레트테크닉: """
xx1#0,"""<%WeaponAction_2><pict 4space> 누르며 <pict 4space><%NormalAttack>"""
xx2#0,"""뒷면 팔레트로 전환 후<pict 4space><%PhotonArts>"""
Text_item#0,"""아이템 사용: """
Button_item_Pad#0,"""<%SubPalette>"""
Button_item_Key#0,"""<%SubPalette1>"""
Text_Lock#0,"""록온: """
Button_Lock#0,"""<%LockOn>"""
Text_ura_hold#0,"""뒷면 팔레트 전환: """
Text_ura_push#0,"""팔레트 전환: """
Button_ura_hold#0,"""<%WeaponAction_2><pict 4space>계속 누르기"""
Button_ura_push#0,"""<%WeaponAction_2>"""
