name010#0,"""나즌"""
text010#0,"""첫 번째 퀴즈는,<br>\""YES or NO\"" 퀴즈입니다!"""
text015#0,"""맞다고 생각하면 <c 008b00>Y 발판<c>으로,<br>아니라고 생각하면 <red>N 발판<c>으로 이동해 주세요."""
text020#0,"""그럼, 문제 나갑니다.<br>……짠!"""
text030#0,"""정답이라고 생각되는 발판으로 가주세요!<br>렛츠 씽킹!"""
text040#0,"""타임 업!"""
text050#0,"""정답은…<br><red>NO<c>입니다!"""
text051#0,"""정답은…<br><red>YES<c>입니다!"""
text052#0,"""축하드립니다!"""
text053#0,"""아쉽네요…."""
text060#0,"""다음 문제입니다.<br>……짠!"""
text070#0,"""그럼 마지막 문제입니다.<br>……짠!"""
text080#0,"""\""YES or NO\"" 퀴즈는 여기까지입니다.<br>다음 퀴즈의  장소로 이동하죠!"""
Textobj_Yes#0,"""YES"""
Textobj_No#0,"""NO"""
quiz01#0,"""문제<br><yellow>센트럴 시티에는<br>출입구가 총 \""4개\""다.<c>"""
quiz00_1#0,"""없음"""
quiz01_1#0,"""센트럴 시티에는"""
quiz01_2#0,"""출입구가 총 \""4개\""다."""
quiz02#0,"""문제<br><yellow>리템 시티에 배치되어 있는<br>대형 모니터는 총 \""3개\""다.<c>"""
quiz02_1#0,"""리템 시티에 배치되어 있는"""
quiz02_2#0,"""대형 모니터는 총 \""3개\""다."""
quiz03#0,"""문제<br><yellow>\""마그너스 산\""의 난이도에는<br>\""【Rank.5】\""가 있다.<c>"""
quiz03_1#0,"""\""마그너스 산\""의 난이도에는"""
quiz03_2#0,"""\""【Rank.5】\""가 있다."""
quiz04#0,"""문제<br><yellow>\""구이덴\""의 직책은<br>\""아크스 지도관\""이다.<c>"""
quiz04_1#0,"""\""구이덴\""의 직책은"""
quiz04_2#0,"""\""아크스 지도관\""이다."""
quiz05#0,"""문제<br><yellow>\""스테이지 라이브 효과\""의 지속 시간은<br>\""24시간\""이다.<c>"""
quiz05_1#0,"""\""스테이지 라이브 효과\""의 지속 시간은"""
quiz05_2#0,"""\""24시간\""이다."""
quiz06#0,"""문제<br><yellow>\""스카우트 와스프\""의 증원으로 출현하는<br>에너미는 \""비 하이브\""다.<c>"""
quiz06_1#0,"""\""스카우트 와스프\""의 증원으로 출현하는"""
quiz06_2#0,"""에너미는 \""비 하이브\""다."""
quiz07#0,"""문제<br><yellow>\""프레이레이\""는 \""리템 에르노자\""에서<br>출현하는 에너미다.<c>"""
quiz07_1#0,"""\""프레이레이\""는 \""리템 에르노자\""에서"""
quiz07_2#0,"""출현하는 에너미다."""
quiz08#0,"""문제<br><yellow>\""스테이지 라이브 효과\""에는<br>\""획득 경험치 +10％\""가 있다.<c>"""
quiz08_1#0,"""\""스테이지 라이브 효과\""에는"""
quiz08_2#0,"""\""획득 경험치 +10％\""가 있다."""
quiz09#0,"""문제<br><yellow>\""프리셋 능력 강화\""에<br>필요한 메세타는 \""500 N-메세타\""다.<c>"""
quiz09_1#0,"""\""프리셋 능력 강화\""에"""
quiz09_2#0,"""필요한 메세타는 \""500 N-메세타\""다."""
quiz10#0,"""문제<br><yellow>\""프리미엄 세트\""의 유효기간 동안<br>\""드롭 아이템의 자동 판매\""가 가능하다.<c>"""
quiz10_1#0,"""\""프리미엄 세트\""의 유효기간 동안"""
quiz10_2#0,"""\""드롭 아이템의 자동 판매\""가 가능하다."""
quiz11#0,"""문제<br><yellow>\""네오스 유스티론\""의 속성은<br>\""암속성\""이다.<c>"""
quiz11_1#0,"""\""네오스 유스티론\""의 속성은"""
quiz11_2#0,"""\""암속성\""이다."""
quiz12#0,"""문제<br><yellow>\""남부 크바리스\""에는<br>\""노련의 스노르크\""가 출현한다.<c>"""
quiz12_1#0,"""\""남부 크바리스\""에는"""
quiz12_2#0,"""\""노련의 스노르크\""가 출현한다."""
quiz13#0,"""문제<br><yellow>애드온 스킬의 \""스킬 생성 5\""에는<br>N-마스터 큐브가 \""4개\"" 필요하다.<c>"""
quiz13_1#0,"""애드온 스킬의 \""스킬 생성 5\""에는"""
quiz13_2#0,"""N-마스터 큐브가 \""4개\"" 필요하다."""
quiz14#0,"""문제<br><yellow>크바리스 리전의 \""날씨\""에는<br>\""오로라\""가 있다.<c>"""
quiz14_1#0,"""크바리스 리전 \""날씨\""에는"""
quiz14_2#0,"""\""오로라\""가 있다."""
quiz15#0,"""문제<br><yellow>\""트라스포\""의 직책은<br>\""아크스 건축 연구원\""이다.<c>"""
quiz15_1#0,"""\""트라스포\""의 직책은"""
quiz15_2#0,"""\""아크스 건축 연구원\""이다."""
quiz16#0,"""문제<br><yellow>\""류린\""의 직책은<br>\""오퍼레이터\""다.<c>"""
quiz16_1#0,"""\""류린\""의 직책은"""
quiz16_2#0,"""\""오퍼레이터\""다."""
quiz17#0,"""문제<br><yellow>\""스트로볼 섬\""은<br>\""남부 에아리오\""에 있는 섬이다.<c>"""
quiz17_1#0,"""\""스트로볼 섬\""은"""
quiz17_2#0,"""\""남부 에아리오\""에 있는 섬이다."""
quiz18#0,"""문제<br><yellow>\""서부 에아리오\""에는<br>\""크라이아노 절벽\""이라는 곳이 있다.<c>"""
quiz18_1#0,"""\""서부 에아리오\""에는"""
quiz18_2#0,"""\""크라이아노 절벽\""이라는 곳이 있다."""
quiz19#0,"""문제<br><yellow>크바리스의 \""메리\""의 종족은<br>\""휴먼\""이다.<c>"""
quiz19_1#0,"""크바리스의 \""메리\""의 종족은"""
quiz19_2#0,"""\""휴먼\""이다."""
quiz20#0,"""문제<br><yellow>\""멀티 웨폰\"" 제작에는<br>\""포톤 쿼츠\""가 필요하다.<c>"""
quiz20_1#0,"""\""멀티 웨폰\"" 제작에는"""
quiz20_2#0,"""\""포톤 쿼츠\""가 필요하다."""
quiz21#0,"""문제<br><yellow>\""로날딘\""의 직책은<br>\""아이템 랩 강화 기술자\""이다.<c>"""
quiz21_1#0,"""\""로날딘\""의 직책은"""
quiz21_2#0,"""\""아이템 랩 강화 기술자\""이다."""
quiz22#0,"""문제<br><yellow>코쿤 \""배니싱 웨이\""에는<br>\""포토스 런처\""가 출현한다.<c>"""
quiz22_1#0,"""코쿤 \""배니싱 웨이\""에는"""
quiz22_2#0,"""\""포토스 런처\""가 출현한다."""
quiz23#0,"""문제<br><yellow>\""마논\""이 전투에서 사용하는 무기군은<br>\""어설트 라이플\""이다.<c>"""
quiz23_1#0,"""\""마논\""이 전투에서 사용하는 무기군은"""
quiz23_2#0,"""\""어설트 라이플\""이다."""
quiz24#0,"""문제<br><yellow>\""메디오라 외곽 제 1구\""에는<br>\""절망의 바디아스\""가 출현한다.<c>"""
quiz24_1#0,"""\""메디오라 외곽 제 1구\""에는"""
quiz24_2#0,"""\""절망의 바디아스\""가 출현한다."""
quiz25#0,"""문제<br><yellow>\""팀\""의 직책은<br>\""팀 활동 지원가\""다.<c>"""
quiz25_1#0,"""\""팀\""의 직책은"""
quiz25_2#0,"""\""팀 활동 지원가\""다."""
quiz26#0,"""문제<br><yellow>\""하디\""의 나이는<br>\""54세\""이다.<c>"""
quiz26_1#0,"""\""하디\""의 나이는"""
quiz26_2#0,"""\""54세\""이다."""
quiz27#0,"""문제<br><yellow>리템 리전\""날씨\""에는<br>\""폭염\""이 있다.<c>"""
quiz27_1#0,"""리템 리전\""날씨\""에는"""
quiz27_2#0,"""\""폭염\""이 있다."""
quiz28#0,"""문제<br><yellow>\""팀 마그 부스트\"" 효과에<br>\""데미지 내성 업\""이 있다.<c>"""
quiz28_1#0,"""\""팀 마그 부스트\"" 효과에"""
quiz28_2#0,"""\""데미지 내성 업\""이 있다."""
quiz29#0,"""문제<br><yellow>에아리오 리전의 \""날씨\""에는<br>\""유성우\""가 있다.<c>"""
quiz29_1#0,"""에아리오 리전의 \""날씨\""에는"""
quiz29_2#0,"""\""유성우\""가 있다."""
quiz30#0,"""문제<br><yellow>\""서부 에아리오\""에 출현하는 기간틱스는<br>\""절망의 바라스\""다.<c>"""
quiz30_1#0,"""\""서부 에아리오\""에 출현하는 기간틱스는"""
quiz30_2#0,"""\""절망의 바라스\""다."""
quiz31#0,"""문제<br><yellow>\""듀얼 퀘스트\""의 제한 시간은<br>\""5분\""이다.<c>"""
quiz31_1#0,"""\""듀얼 퀘스트\""의 제한 시간은"""
quiz31_2#0,"""\""5분\""이다."""
quiz32#0,"""문제<br><yellow>무기 미채 \""＊캐트리아 아르마티 (＊キャトリアアルマティ)\""는<br>\""택트\""를 포함한다.<c>"""
quiz32_1#0,"""무기 미채 \""＊캐트리아 아르마티 (＊キャトリアアルマティ)\""는"""
quiz32_2#0,"""\""택트\""를 포함한다."""
quiz33#0,"""문제<br><yellow>\""노이젠 플랜트\""에는<br>\""레누스 리템\""이 출현하지 않는다.<c>"""
quiz33_1#0,"""\""노이젠 플랜트\""에는"""
quiz33_2#0,"""\""레누스 리템\""이 출현하지 않는다."""
quiz34#0,"""문제<br><yellow>\""애드온 스킬\""의 메인 효과에<br>\""크리티컬 위력 업\""은 없다.<c>"""
quiz34_1#0,"""\""애드온 스킬\""의 메인 효과에"""
quiz34_2#0,"""\""크리티컬 위력 업\""은 없다."""
quiz35#0,"""문제<br><yellow>특수 능력 \""기가스 탈리아 Ⅱ\""에는<br>\""사격과 법격\""의 위력 상승 효과 있다.<c>"""
quiz35_1#0,"""특수 능력 \""기가스 탈리아 Ⅱ\""에는"""
quiz35_2#0,"""\""사격과 법격\""의 위력 상승 효과 있다."""
quiz36#0,"""문제<br><yellow>\""멜렉 데스페르탈\""의 무기 종류는<br>\""어설트 라이플\""이다.<c>"""
quiz36_1#0,"""\""멜렉 데스페르탈\""의 무기 종류는"""
quiz36_2#0,"""\""어설트 라이플\""이다."""
quiz37#0,"""문제<br><yellow>\""골드 프림소드 Ⅱ\""에는<br>\""엔디미오\""라는 특수 능력이 달려있다.<c>"""
quiz37_1#0,"""\""골드 프림소드 Ⅱ\""에는"""
quiz37_2#0,"""\""엔디미오\""라는 특수 능력이 달려있다."""
