text00#0,"""Что желаете узнать?"""
text01#0,"""Кольца умений"""
text02#0,"""Усиление колец умений"""
text03#0,"""Назад"""
Title#0,"""Кольца умений"""
text01#1,"""Существует 2 вида колец умений:<br>Кольца для левой (L) руки и<br>кольца для правой (R) руки.<br>Надев кольцо, вы сможете использовать его умение.<br><br>Например:<br><c 00ffff>L кольцо умений<c>: Katana Gear Guard Release<br> При удержании блока, принудительно<br>активируется Gear.<br> Во время действия, Gear расходуется быстрее.<br><br><c 00ffff>R кольцо умений<c>: PP Convert/Ring<br> При уменьшении максимального HP, временно<br> увеличивает автоматическое восстановление PP."""
text02#1,"""Кольца умений можно получить в Кафе Франки<br>у Альте в обмен на месету и собранные материалы."""
Title#1,"""Усиление колец умений"""
text01#2,"""Существует предел заточки кольца умений.<br><br>При носке кольца как экипированный предмет,<br>с получением вами опыта, кольцо тоже получает опыт."""
text02#2,"""Когда кольцо наберёт достаточно опыта, его предел<br>заточки увеличится.<br><br>Вы можете усилить кольцо в лаборатории предметов<br>находящемся в Торговой Зоне, используя материалы<br>со сбора и месету.<br><br><yellow>※Кольцо не нужно затачивать, чтобы продолжать<br>получать опыт.<c>"""
text03#1,"""При заточке левого (L) кольца вы также можете<br>выбрать параметр для усиления.<br><br>Выбираемые параметры зависят от типа кольца."""
