text00#0,"""Что желаете узнать?"""
text01#0,"""Информация о сборе"""
text02#0,"""Блюда добычи"""
text03#0,"""Комбо и лихорадка (Fever)"""
text04#0,"""Достижения и уровни"""
text06#0,"""Уйти"""
Title#0,"""Информация о сборе"""
text01#1,"""\""Сбор\"" относится к сбору материалов<br>полученных из \""добычи\"" и \""рыбалки\"".<br><br>Принося эти материалы в \""Кафе Франки\"",<br>вы можете получить <yellow>Кольца умений<c><br>и <yellow>Блюда<c>."""
text02#1,"""<green>■ Сбор<c><br>・При посещении \""Место для добычи\"", вы можете<br>сбрать такие материалы, как <yellow>руда<c> и<br><yellow>минералы<c>, а также <yellow>ингридиенты блюд<c>.<br>※Во время сбора вы расходуете <green>стамину сбора<c>.<br><br><c 00ffff>■ Рыбалка<c><br>・При посещении \""Место для рыбалки\"", вы можете<br>получить <yellow>рыбу<c> и прочих морских чуществ,<br>необходимых для приготовления блюд.<br>※Во время рыбалки вы расходуете<br><c 00ffff>стамину рыбалки<c>."""
text04#1,"""■ Восстановление стамины:<br>・Ваша стамина <yellow>восстанавливается автоматически<br>с течением времени<c>, однако, можно мгновенно<br>восстановить стамину с помощью Star Gem'ов.<br><br>■ Предметы \""Мастерской & Хорошей\"" добычи:<br>\u3000\u3000・Помимо обычных спосбов для \""сбора\"" и<br>\""рыбалки\"", вы можете <yellow>увеличить шанс получения<br>пределённых материалов<c> с помощью предметов<br>мастерской и хорошей добычи."""
Title#1,"""Блюда добычи"""
text01#2,"""Используя приготовленные блюда, вы можете<br>получить временные особые эффекты, например:<br><br><green>Forest Tomato Salad<c><br>・При сборе немного увеличивается шанс сбора<br>овощей и дополнительного сбора.<br><br><green>Tokyo Style Burger<c><br>・Тут же восстанавливает HP<br><br><yellow>※Блюда можно добавить в под-палитру<c>."""
text02#2,"""По достижения <yellow>Достижений добычи<c>, вы будете<br>получать рецепты новых блюд, а меню<br><green>Кулинароного магазина<c> будет расширяться.<br><br>Если эффект блюда активен, и вы<br>используете другое блюдо, то эффект этого<br>блюда заменит эффект первого."""
Title#2,"""Комбо и лихорадка (Fever)"""
text01#3,"""<c 00ffff>Комбо<c><br>Когда вы не переставая занимаетесь сбором<br>(добыча/ловля), начинается отсчёт комбо.<br><br>По мере постоянного увеличения комбо,<br>возростает шанс лихорадки.<br><br>По мере иссечения места для сбора<br>(ловли/рыбалки), вы получите<br>дополнительное комбо."""
text02#3,"""<c 00ffff>Лихорадка (Fever)<c><br>Во время сбора (добычи/рыбалки)<br>может начаться лихорадка.<br><br>Во время лихорадки увеличивается шанс<br>на получение редких материалов, а также<br>на увеличение их количества за раз.<br>В дополнение, места для сбора (добычи/рыбалки)<br>дадут возможность неограниченного числа попыток<br>на время лихорадки."""
text03#1,"""По окончании лихорадки/комбо вы получите опыт<br>в зависимости от количества выполненых<br>комбо в целом.<br><yellow>※Имеется ограничение на количество<br>получаемого опыта<c>."""
text00#1,"""Достижения и уровни"""
text01#4,"""При выполнении определённых условий во время<br>сбора (добыча/рыбалка), вы можете получить<br>достижение.<br><br>При получении достижения можно получить награду.<br><br>Завершение достижения позволит вам получить<br>достижения более высокого уровня."""
text02#4,"""По мере разблокировки достижений, уровни сбора<br>будут повышаться.<br><br>С увеличением уровня сбора, также увеличивается<br>и время лихордки.<br>Вы можете получить и другие награды!<br><br>В дополнение, когда вы наберёте уровень<br>для одного из вида сбора (добыча/рыбалка),<br>запас выносливсти для данного вида повысится."""
