name_7403#0,"""Rediah"""
ssn_015191_0001#0,"""Yes, as you wish."""
ssn_015191_0002#0,"""I shall now inform you about the Shop."""
ssn_015191_0003#0,"""The Shop provides a wide selection of useful items. For example, the Premium Set."""
ssn_015191_0004#0,"""That Set serves as a license for you to sell things on your My Shop, and gives you access to Premium Storage."""
ssn_015191_0005#0,"""The Shop also allows you to obtain Costumes and Accessories from Scratch Tickets."""
ssn_015191_0006#0,"""Items obtained from certain Scratch Tickets can be bought and sold on My Shop."""
ssn_015191_0007#0,"""Incidentally, some items are always available, while some items are periodically switched into and out of rotation."""
ssn_015191_0008#0,"""Because of this, some items can only be obtained at specified intervals, so make sure to check back every now and then for different item line-ups!"""
ssn_015191_0009#0,"""First, I'd like you to try browsing the Shop. I'm sure you'll find some items to your liking!"""
ssn_015191_0010#0,"""The Shop contains a few departments, including the AC and SG Shops and the Scratches."""
ssn_015191_0011#0,"""The AC and SG Shops let you spend their particular currencies on items."""
ssn_015191_0012#0,"""I particularly recommend the Premium Set from the AC Shop."""
ssn_015191_0013#0,"""If you use a Premium Set, you'll be able to list items for sale in My Shop, and you'll have access to Premium Storage."""
ssn_015191_0014#0,"""Scratches are exactly what they sound like: You randomly draw for items from a scratch card, including unique costumes and accessories."""
