name_7403#0,"""Rediah"""
ssn_015190_0001#0,"""เธอคงจะเป็น Meteorn หน้าใหม่สินะ ขอบคุณมากที่แวะมานะ"""
ssn_015190_0002#0,"""ขอโทษจริงๆ นะ แต่ฉันยังมีอีกสองสามอย่างที่ต้องเตรียมตัว"""
ssn_015190_0003#0,"""ไว้คราวหน้าค่อยมาใหม่นะ ฉันจะรออยู่ที่นี่แหละ"""
ssn_015190_0101#0,"""สวัสดี! ฉันคือ Rediah เป็น ARKS Senior Support Informant นะ"""
ssn_015190_0102#0,"""ฉันมีข้อมูลที่เป็นประโยชน์ให้กับทุกคนใน ARKS เพื่อยกระดับคุณภาพชีวิตโดยรวมล่ะ"""
ssn_015190_0103#0,"""มีอะไรอยากจะถามฉันไหมล่ะ?"""
ssn_015190_0201#0,"""ร้านค้านี้มีไอเทมที่มีประโยชน์ให้เลือกมากมายเลยล่ะ"""
ssn_015190_0202#0,"""แวะมาเลือกดูบ้างก็ดีนะ"""
ssn_015190_0301#0,"""แวะมาได้ตลอดตามสบายเลยนะ"""
ssn_015190_0401#0,"""ฉันมีข้อมูลที่เป็นประโยชน์ให้กับทุกคนใน ARKS เพื่อยกระดับคุณภาพชีวิตโดยรวมล่ะ"""
ssn_015190_0402#0,"""ถ้ามีคำถามอะไรก็แวะมาหาฉันอีกได้นะ เข้าใจไหม?"""
npc_menu_0001#0,"""รับ Task"""
npc_menu_0002#0,"""เกี่ยวกับ Shop (Main Menu)"""
npc_menu_0003#0,"""ปิด"""
npc_menu_0004#0,"""เกี่ยวกับ Shop"""
npc_menu_0005#0,"""เกี่ยวกับ AC & SG Shop"""
npc_menu_0006#0,"""เกี่ยวกับ Recycle Item"""
npc_menu_0007#0,"""เกี่ยวกับ Treasure Shop (SG)"""
npc_menu_0008#0,"""เกี่ยวกับ Treasure Shop (N-Meseta)"""
npc_menu_0009#0,"""ไม่ถามอะไร"""
npc_menu_0010#0,"""เกี่ยวกับ 'สุ่ม Scratch'"""
npc_menu_0011#0,"""ฟังคำแนะนำเพิ่มเติม"""
npc_menu_0012#0,"""เกี่ยวกับ ARKS Card"""
npc_menu_0013#0,"""เกี่ยวกับ Mission Pass"""
npc_menu_0014#0,"""เกี่ยวกับ Game Guide"""
npc_menu_0015#0,"""เกี่ยวกับ Fashion Catalog"""
npc_menu_0016#0,"""เกี่ยวกับ Stamp"""
npc_menu_0017#0,"""เกี่ยวกับ Portable Hologram"""
npc_menu_0018#0,"""เกี่ยวกับ Material Storage"""
npc_menu_0019#0,"""เกี่ยวกับ Wishlist"""
