name_7403#0,"""Rediah"""
ssn_015190_002_0001#0,"""Let me explain about ARKS Cards."""
ssn_015190_002_0002#0,"""An ARKS Card is a special card with your personal profile on it."""
ssn_015190_002_0003#0,"""Other people can look at your ARKS Card to get an idea of what sort of person you are."""
ssn_015190_002_0004#0,"""Naturally, you can look at other people's ARKS Cards too."""
ssn_015190_002_0005#0,"""You can use ARKS Cards to find other ARKS with similar goals, hobbies and interests to yourself."""
ssn_015190_002_0006#0,"""It would mean a lot to me if you used them to make new friends."""
ssn_015190_002_0007#0,"""I'd like you to try making your own ARKS Card."""
ssn_015190_002_0008#0,"""After that, I want you to take a look at other people's ARKS Cards."""
ssn_015190_002_0009#0,"""Don't worry, just try it."""
ssn_015190_002_0010#0,"""If you aren't sure how to view and edit ARKS Cards, speak to me again."""
