msc_012230_0010#0,"""มาเริ่มกันเลยเถอะ"""
msc_012230_0020#0,"""นี่คือฐานที่มั่นของ Lenus Retem... เดอะโดม (The Dome)"""
msc_012230_0030#0,"""เป้าหมายของพวกเรามีเพียงหนึ่งเดียว ข้ามทะเลทรายและบุกจู่โจมฐานที่มั่น..."""
msc_012230_0040#0,"""แล้วโค่นมันลงให้จงได้!"""
msc_012230_0050#0,"""พวกเราเหลือเวลาและกำลังคนไม่มากแล้ว... ฉันขอให้ทุกคนช่วยให้ความร่วมมือด้วยนะ"""
msc_012230_0060#0,"""ดาบของฉันพร้อมรับใช้... ฉันไม่ขอเลือกทางอื่นแน่"""
msc_012230_0070#0,"""การป้องกันของเดอะโดม (The Dome) นั้นแข็งแกร่งมาก พวกเราคงไม่สามารถเดินดุ่มๆ เข้าไปได้ง่ายๆ หรอก"""
msc_012230_0080#0,"""แน่นอนอยู่แล้วว่ามันไม่ใช่งานง่ายๆ พอเราไปถึงเดอะโดม (The Dome) เราจะต้องแบ่งกำลังคนออกเป็นส่วนๆ..."""
msc_012230_0090#0,"""ฉันจะนำกำลังหลักบุกเข้าไปยังใจกลางที่เป็นจุดซ่อนตัวของ Lenus Retem ในขณะที่พวกเราร่วมกันริดรอนกำลังของพวกมันไป"""
msc_012230_0100#0,"""รายละเอียดที่เหลือ ฮาดิ (Hadi), จาลิล (Jalil), โมห์เซน (Mohsen) และฉันจะเป็นคนจัดการเอง ขอให้ทุกคนไปเตรียมตัวให้พร้อมก่อนที่ปฏิบัติการจะเริ่มขึ้น เลิกประชุมได้"""
msc_012230_0110#0,"""ขอโทษที่รบกวนนะ ถ้าฉันจะได้ขอดูข้อมูลที่เราคุยกันไว้ก่อนหน้านี้ล่ะก็..."""
msc_012230_0120#0,"""บันทึกการต่อสู้ในอดีตถูกเก็บเอาไว้ในนี้น่ะ"""
msc_012230_0130#0,"""ขอบคุณนะ"""
msc_012230_0140#0,"""มันอาจจะไม่มีข้อมูลอะไรที่สามารถพลิกสถานการณ์การรบครั้งนี้ได้เลยก็ได้นะ..."""
msc_012230_0150#0,"""เอ๊ะ? มาน่อนหายไปไหนล่ะ?"""
