msc_012200_0010#0,"""น่าจะหมดแล้วล่ะนะ"""
msc_012200_0020#0,"""...ทีนี้ พวกเธออยากรู้สินะว่าทำไมพวกเราถึงไม่ใช้พลังแห่งบทเพลง?"""
msc_012200_0030#0,"""ตลอดหลายชั่วอายุคน ผู้นำของภูมิภาคเรเทม (Retem) ได้ต่อสู้โดยใช้ทั้งพลังแห่งการรบและพลังแห่งบทเพลง แต่ทว่า..."""
msc_012200_0040#0,"""นาเดเรห์ (Nadereh) ไม่ได้ครอบครองพลังแห่งบทเพลงนั้น"""
msc_012200_0050#0,"""ในวันที่เธอขึ้นรับตำแหน่งผู้นำ... มีเหล่า ARKS มารวมตัวกันที่นี่มากมาย"""
msc_012200_0060#0,"""นาเดเรห์ร้องเพลงศึกของเธอในวันนั้น แต่พลังของมันกลับไม่ปรากฏออกมา"""
msc_012200_0070#0,"""ทำไมล่ะ?"""
msc_012200_0080#0,"""...ไม่มีใครรู้หรอก"""
msc_012200_0100#0,"""ทุกคนที่มารวมตัวกันต่างก็ตกใจ แต่คนที่สะเทือนใจที่สุดก็คือนาเดเรห์นั่นแหละ"""
msc_012200_0110#0,"""ถึงอย่างนั้น เธอก็ยังปฏิบัติหน้าที่ของตัวเองอย่างสุดความสามารถ"""
msc_012200_0130#0,"""เธอฝึกฝนวิถีแห่งการต่อสู้จนแข็งแกร่งเหนือกว่าใคร... มากพอที่จะชดเชยการที่เธอไม่มีพลังแห่งบทเพลง"""
msc_012200_0150#0,"""ไม่มีใครในหมู่พวกเราหรอกนะที่จะกล้าชื่นชมความแข็งแกร่งของเธอ พร้อมกับดูถูกที่เธอร้องเพลงไม่ได้น่ะ"""
msc_012200_0161#0,"""...พอจะมีข้อมูลเกี่ยวกับพลังแห่งบทเพลงของนาเดเรห์บ้างไหม?"""
msc_012200_0163#0,"""อย่างเช่น บันทึกการต่อสู้... หรือข้อมูลงานวิจัยของใครสักคน..."""
msc_012200_0165#0,"""ถ้าไม่รบกวนจนเกินไป ฉันอยากจะขอดูข้อมูลพวกนั้นหน่อยน่ะ"""
msc_012200_0170#0,"""อืม... อาจจะมีเหลืออยู่ในเครื่องเทอร์มินัลของเมืองเรเทม (Retem City) ก็ได้นะ..."""
msc_012200_0180#0,"""งั้นเรากลับไปที่เมืองกันเถอะ"""
