msc_012240_0010#0,"""อ๊ะ... พวกเธอมาแล้วเหรอ"""
msc_012240_0020#0,"""ขอโทษนะที่ออกมาโดยไม่ได้บอกก่อน ฉันแค่ออกมาสูดอากาศน่ะ..."""
msc_012240_0040#0,"""ดาวเคราะห์ดวงนี้ของเรา... ช่างเป็นสถานที่ที่โหดร้าย โหดร้าย... และไร้ความปรานีจริงๆ..."""
msc_012240_0050#0,"""มาน่อน...?"""
msc_012240_0060#0,"""เพื่อที่จะมีชีวิตรอด... ARKS และ DOLLS นับไม่ถ้วนต้องต่อสู้ และล้มตายลง"""
msc_012240_0070#0,"""นั่นมันบทเพลงไว้อาลัยนี่... เธอรู้จักด้วยเหรอ?"""
msc_012240_0080#0,"""นาเดเรห์ (Nadereh)..."""
msc_012240_0090#0,"""เป็นอะไรไปเหรอ?"""
msc_012240_0100#0,"""ฉันกำลังดูบันทึกสงครามในอดีตน่ะ... แล้วก็เผลอเดินมาถึงที่นี่..."""
msc_012240_0110#0,"""ภูมิภาคเรเทม (Retem) ต้องเผชิญกับการต่อสู้มาเนิ่นนาน... และมีผู้คนมากมายต้องตกเป็นเหยื่อ..."""
msc_012240_0120#0,"""..."""
msc_012240_0130#0,"""ถ้าการต่อสู้ยังคงดำเนินต่อไป... ฉันกลัวว่าจะมีคนต้องเสียสละเพิ่มขึ้นอีก..."""
msc_012240_0140#0,"""แล้วเธอมาทำอะไรที่นี่ล่ะ?"""
msc_012240_0150#0,"""...ฉันมักจะมาที่นี่ก่อนการศึกครั้งใหญ่เสมอ เพื่อรำลึกถึงเหล่าพวกพ้องที่จากไป... และร้องเพลงไว้อาลัย"""
msc_012240_0160#0,"""..."""
msc_012240_0170#0,"""และเพื่อสาบานกับตัวเอง... ว่าจะไม่ยอมให้ใครต้องมาสละชีพอีก"""
msc_012240_0180#0,"""แต่ถึงอย่างนั้น... นี่ก็คือความจริง"""
msc_012240_0190#0,"""ต่อให้ฉันจะฝึกฝนตัวเองให้แข็งแกร่งขึ้นแค่ไหน... ฉันก็ไม่สามารถปกป้องทุกคนไว้ได้"""
msc_012240_0200#0,"""ถ้าหากฉันมีพลังแห่งบทเพลง... ฉันก็คงไม่ต้องสูญเสียเพื่อนร่วมรบไปมากมายขนาดนี้"""
msc_012240_0210#0,"""ฉันไม่มีพลังที่แท้จริงเลย..."""
msc_012240_0220#0,"""ไม่จริงหรอก!"""
msc_012240_0230#0,"""เธอไม่ได้ทำอะไรผิดสักหน่อย... คนที่ผิดจริงๆ คือ..."""
msc_012240_0240#0,"""ขอโทษนะ ได้โปรด... ลืมเรื่องที่ฉันพูดไปเถอะ"""
msc_012240_0250#0,"""พลัง... แห่งบทเพลง..."""
msc_012240_0260#0,"""อะไรกัน..."""
msc_012240_0270#0,"""ใช่แล้ว... ฉันเข้าใจแล้วล่ะ!"""
msc_012240_0280#0,"""ข้อมูลของเหล่าผู้นำในอดีตที่ฉันตรวจสอบดู... พลังของเธอไม่เหมือนกับของพวกเขานี่เอง... ใช่แล้ว! เธอมีพลังอีกรูปแบบนึงไงล่ะ!"""
msc_012240_0290#0,"""...?"""
msc_012240_0300#0,"""จริงๆ แล้ว พลังของเธอคือ...!"""
