Title#0,"""영역 조사 : 이세계의 잔재"""
Explanation#0,"""이세계 오메가가 존재했던 영역에 이질의<br>공간을 확인. 공간 내에 에피메라 및<br>【심원의 어둠】에 가까운 반응을 감지했어요.<br>내부에 확인되는 적성 존재는 그 강도가<br>심원도에 따라 변화함을 확인.<br>꼼꼼한 준비 후에 조사 부탁드립니다!<br>――――――――――――――――――――<br>스케이프 돌, 하프 돌 사용 금지<br>최대 데미지 제한/999999<br>실패 조건/제한 시간 경과, 전투 불능"""
SimpleExplanation#0,"""이질적인 공간 영역의 적성 존재를 토벌하라!"""
a1#0,"""특정 클라이언트 오더 클리어"""
a2#0,"""특정 클라이언트 오더 클리어"""
a3#0,"""슈퍼 하드 수주 허가증 소지"""
a4#0,"""슈퍼 하드 수주 허가증 소지"""
Area0S#0,"""????"""
Area0L#0,"""????"""
Area1S#0,"""????"""
Area1L#0,"""????"""
Area2S#0,"""????"""
Area2L#0,"""????"""
Area3S#0,"""????"""
Area3L#0,"""????"""
Area1S#1,"""????"""
Area1L#1,"""????"""
Area3S#1,"""????"""
Area3L#1,"""????"""
QuestInfoPlanetName#0,"""????"""
