msc_013180_0010#0,"""ขอบคุณนะ พวกเธอช่วยเราเอาไว้"""
msc_013180_0020#0,"""เอิ่ม หรือว่าคุณคือ..."""
msc_013180_0030#0,"""...ตูลลี (Tulli)"""
msc_013180_0040#0,"""ฉันได้ยินเรื่องของพวกเธอจากคุกก้า (Kukka) แล้วล่ะ พวกเธอกำลังตามหาอิลม่า (Ilma) อยู่ใช่ไหม?"""
msc_013180_0050#0,"""ใช่ พอจะเจออะไรที่นี่บ้างไหม?"""
msc_013180_0060#0,"""ดูเหมือนเขาจะไม่ได้เข้าไปในรังของพวก DOLLS นะ... ฉันค้นหาไปพร้อมกับกำจัดพวกมันไปด้วย แต่ก็ยังไม่เห็นวี่แววของเขาเลย"""
msc_013180_0070#0,"""ให้พวกเราช่วยเถอะ"""
msc_013180_0080#0,"""ไม่ล่ะ ไม่จำเป็น... ฉันจัดการเองได้"""
msc_013180_0090#0,"""เอ๊ะ...?"""
msc_013180_0100#0,"""ด-เดี๋ยวก่อน รอเดี๋ยวสิ...!"""
msc_013180_0110#0,"""...ฝีมือการต่อสู้ของพวกเธอไม่เลวเลยนี่"""
msc_013180_0120#0,"""ป่ามิสตรา (Mistra Forest) อยู่ข้างหน้านี้ ไทวาส (Taivas) กำลังอยู่ที่นั่น..."""
msc_013180_0130#0,"""ไปช่วยเขาหน่อยก็แล้วกัน"""
msc_013180_0140#0,"""ฉันจะจัดการพวก DOLLS ที่เหลือในบริเวณนี้ให้หมด แล้วจะกลับบ้านล่ะ"""
