quiz_00#0,"""N/A"""
name010#0,"""Nazun"""
text010#0,"""เอาล่ะ สำหรับคำถามต่อไป!"""
text020#0,"""มันมีชื่อว่า... คำถามแฝดห้า!"""
text030#0,"""ตั้งใจฟั~งให้ดี และตัดสินใจเลือกให้ถูก คิดให้รอบคอบล่ะ!"""
text040#0,"""หมดเวลา!"""
text050#0,"""และคำถามแฝดห้าก็จบลงเพียงเท่านี้ ไปยังพื้นที่ตอบคำถามถัดไปกันเถอะ!"""
quiz_correct#0,"""ขอแสดงความยินดีด้วย!"""
quiz_incorrect#0,"""โชคไม่ดีเลยนะ..."""
quiz01#0,"""ฟังสิ่งที่แฝดห้าพูด และพยายามหาคำตอบว่า <red>ใครมาถึง Lodge เป็นคนแรก<c>"""
quiz01_journal#0,"""ใครมาถึง Lodge เป็น<yellow>คนแรก<c>?"""
quiz02#0,"""ฟังสิ่งที่แฝดห้าพูด และพยายามหาคำตอบว่า <red>ใครมาถึง Lodge เป็นคนที่สอง<c>"""
quiz02_journal#0,"""ใครมาถึง Lodge เป็น<yellow>คนที่สอง<c>?"""
quiz03#0,"""ฟังสิ่งที่แฝดห้าพูด และพยายามหาคำตอบว่า <red>ใครมาถึง Lodge เป็นคนที่สาม<c>"""
quiz03_journal#0,"""ใครมาถึง Lodge เป็น<yellow>คนที่สาม<c>?"""
quiz04#0,"""ฟังสิ่งที่แฝดห้าพูด และพยายามหาคำตอบว่า <red>ใครมาถึง Lodge เป็นคนที่สี่<c>"""
quiz04_journal#0,"""ใครมาถึง Lodge เป็น<yellow>คนที่สี่<c>?"""
quiz05#0,"""ฟังสิ่งที่แฝดห้าพูด และพยายามหาคำตอบว่า <red>ใครมาถึง Lodge เป็นคนสุดท้าย<c>"""
quiz05_journal#0,"""ใครมาถึง Lodge เป็น<yellow>คนสุดท้าย<c>?"""
quiz_select1#0,"""Taivas"""
quiz_select2#0,"""Tulli"""
quiz_select3#0,"""Ilma"""
quiz_select4#0,"""Kukka"""
quiz_select5#0,"""Meri"""
quiz_answer1#0,"""และคำตอบก็คือ...<br><red>Taivas<c>!"""
quiz_answer2#0,"""และคำตอบก็คือ...<br><red>Tulli<c>!"""
quiz_answer3#0,"""และคำตอบก็คือ...<br><red>Ilma<c>!"""
quiz_answer4#0,"""และคำตอบก็คือ...<br><red>Kukka<c>!"""
quiz_answer5#0,"""และคำตอบก็คือ...<br><red>Meri<c>!"""
