quiz_00#0,"""N/A"""
name010#0,"""Nazun"""
text010#0,"""ถึงเวลาสำหรับคำถามต่อไปแล้ว!"""
text020#0,"""ยินดีต้อนรับสู่คำถามแฝดห้า!"""
text030#0,"""ฟังให้ดีๆ แล้วค่อยตัดสินใจ คิดให้ดีๆ นะ!"""
text040#0,"""หมดเวลาแล้ว!"""
text050#0,"""และคำถามแฝดห้าก็จบลงเพียงเท่านี้ ไปยังพื้นที่คำถามต่อไปกันเถอะ!"""
quiz_correct#0,"""ขอแสดงความยินดีด้วย!"""
quiz_incorrect#0,"""แย่จังเลยนะ..."""
quiz01#0,"""ฟังสิ่งที่แฝดห้าพูด แล้วลองคิดดูว่า <red>ใครมาถึง Lodge เป็นคนแรก<c>"""
quiz01_journal#0,"""ใครคือ <yellow>คนที่มาถึงคนแรก<c> ที่ Lodge?"""
quiz02#0,"""ฟังสิ่งที่แฝดห้าพูด แล้วลองคิดดูว่า <red>ใครมาถึง Lodge เป็นคนที่สอง<c>"""
quiz02_journal#0,"""ใครคือ <yellow>คนที่มาถึงคนที่สอง<c> ที่ Lodge?"""
quiz03#0,"""ฟังสิ่งที่แฝดห้าพูด แล้วลองคิดดูว่า <red>ใครมาถึง Lodge เป็นคนที่สาม<c>"""
quiz03_journal#0,"""ใครคือ <yellow>คนที่มาถึงคนที่สาม<c> ที่ Lodge?"""
quiz04#0,"""ฟังสิ่งที่แฝดห้าพูด แล้วลองคิดดูว่า <red>ใครมาถึง Lodge เป็นคนที่สี่<c>"""
quiz04_journal#0,"""ใครคือ <yellow>คนที่มาถึงคนที่สี่<c> ที่ Lodge?"""
quiz05#0,"""ฟังสิ่งที่แฝดห้าพูด แล้วลองคิดดูว่า <red>ใครมาถึง Lodge เป็นคนสุดท้าย<c>"""
quiz05_journal#0,"""ใครคือ <yellow>คนที่มาถึงคนสุดท้าย<c> ที่ Lodge?"""
quiz_select1#0,"""Taivas"""
quiz_select2#0,"""Tulli"""
quiz_select3#0,"""Ilma"""
quiz_select4#0,"""Kukka"""
quiz_select5#0,"""Meri"""
quiz_answer1#0,"""คำตอบที่ถูกต้องคือ...<br><red>Taivas<c>!"""
quiz_answer2#0,"""คำตอบที่ถูกต้องคือ...<br><red>Tulli<c>!"""
quiz_answer3#0,"""คำตอบที่ถูกต้องคือ...<br><red>Ilma<c>!"""
quiz_answer4#0,"""คำตอบที่ถูกต้องคือ...<br><red>Kukka<c>!"""
quiz_answer5#0,"""คำตอบที่ถูกต้องคือ...<br><red>Meri<c>!"""
