name010#0,"""Nazun"""
text010#0,"""เอาล่ะ! มาถึงคำถามสุดท้ายของเราแล้ว!"""
text020#0,"""คำถามนี้มีชื่อว่า... มีจำนวนเท่าไหร่?!"""
quiz1#0,"""<red>นับจำนวนศัตรู<c> ที่ปรากฏตัวต่อหน้าคุณ แล้วไปยืนบนแท่นที่คุณคิดว่าเป็นคำตอบที่ถูกต้อง"""
quiz01_01#0,"""มีจำนวนเท่าไหร่?!"""
quiz2#0,"""มีศัตรูจำนวนเท่าไหร่?! คิดให้ดีๆ นะ!"""
quiz02_01#0,"""นับจำนวน Rappy พวกนั้นสิ!"""
text030#0,"""หมดเวลา!"""
text040#0,"""และนั่นก็คือคำถามทั้งหมด"""
text041#0,"""...โอ๊ะ เดี๋ยวก่อนนะ?"""
text042#0,"""นี่มันอะไรกัน?! ศัตรูเข้ามาในสถานที่อีกแล้วเหรอ?!"""
countdown_3#0,"""3"""
countdown_2#0,"""2"""
countdown_1#0,"""1"""
line04#0,"""เริ่ม!"""
quiz00_01#0,"""N/A"""
quiz_correct#0,"""ขอแสดงความยินดีด้วย!"""
quiz_incorrect#0,"""โชคไม่ดีเลยนะ..."""
quiz_select14#0,"""14"""
quiz_select15#0,"""15"""
quiz_select16#0,"""16"""
quiz_select17#0,"""17"""
quiz_select18#0,"""18"""
quiz_answer14#0,"""และคำตอบก็คือ...<br><red>14<c>!"""
quiz_answer15#0,"""และคำตอบก็คือ...<br><red>15<c>!"""
quiz_answer16#0,"""และคำตอบก็คือ...<br><red>16<c>!"""
quiz_answer17#0,"""และคำตอบก็คือ...<br><red>17<c>!"""
quiz_answer18#0,"""และคำตอบก็คือ...<br><red>18<c>!"""
quiz_select8#0,"""8"""
quiz_select9#0,"""9"""
quiz_select10#0,"""10"""
quiz_select11#0,"""11"""
quiz_answer8#0,"""และคำตอบก็คือ...<br><red>8<c>!"""
quiz_answer9#0,"""และคำตอบก็คือ...<br><red>9<c>!"""
quiz_answer10#0,"""และคำตอบก็คือ...<br><red>10<c>!"""
quiz_answer11#0,"""และคำตอบก็คือ...<br><red>11<c>!"""
