name010#0,"""Nazun"""
text010#0,"""...ต-ตอนนี้พวกเธอได้กำจัดศัตรูที่โผล่มาอย่างไม่ทราบสาเหตุแล้ว<br>ก็ได้เวลาสำหรับคำถามแบบปรนัยแล้ว!"""
text011#0,"""จาก 4 ตัวเลือกที่มีให้ โปรดยืนบนแท่นที่เธอคิดว่าเป็นคำตอบที่ถูกต้อง!"""
text020#0,"""นี่คือคำถามแรกของเธอ... แท่นแท๊น!"""
text030#0,"""ยืนบนแท่นที่เธอคิดว่าเป็นคำตอบที่ถูกต้อง! คิดให้ดีๆ ล่ะ!"""
text040#0,"""หมดเวลา!"""
text050#0,"""นี่คือคำถามต่อไปของเธอ... แท่นแท๊น!"""
text060#0,"""และสุดท้าย คำถามสุดท้ายของเธอ... แท่นแท๊น!"""
text080#0,"""นั่นคือทั้งหมดสำหรับคำถามแบบปรนัยของเรา ไปยังพื้นที่ตอบคำถามต่อไปกันเถอะ!"""
quiz00_01#0,"""N/A"""
quiz_correct#0,"""ขอแสดงความยินดีด้วย!"""
quiz_incorrect#0,"""โชคไม่ดีเลยนะ..."""
quiz01#0,"""คำถาม:<br><yellow>N-Grinder<br>ขายได้ในราคาเท่าไหร่?<c>"""
quiz01_01#0,"""N-Grinder"""
quiz01_02#0,"""ขายได้ในราคาเท่าไหร่?"""
quize01_select1#0,"""30 N-Meseta"""
quize01_select2#0,"""40 N-Meseta"""
quize01_select3#0,"""50 N-Meseta"""
quize01_select4#0,"""60 N-Meseta"""
quize01_answer#0,"""และคำตอบก็คือ...<br><red>40 N-Meseta<c>!"""
quiz02#0,"""คำถาม:<br><yellow>ในบรรดาแฝดห้า Kvaris<br>ใครคือลูกคนที่สอง?<c>"""
quiz02_01#0,"""ในบรรดาแฝดห้า Kvaris"""
quiz02_02#0,"""ใครคือลูกคนที่สอง?"""
quize02_select1#0,"""Taivas"""
quize02_select2#0,"""Ilma"""
quize02_select3#0,"""Tulli"""
quize02_select4#0,"""Kukka"""
quize02_answer#0,"""และคำตอบก็คือ...<br><red>Tulli<c>!"""
quiz03#0,"""คำถาม:<br><yellow>ใครต่อไปนี้ไม่ใช่หนึ่งในแฝดห้า Kvaris?"""
quiz03_01#0,"""ใครต่อไปนี้ไม่ใช่หนึ่งในแฝดห้า Kvaris?"""
quize03_select1#0,"""Leso"""
quize03_select2#0,"""Meri"""
quize03_select3#0,"""Ilma"""
quize03_select4#0,"""Kukka"""
quize03_answer#0,"""และคำตอบก็คือ...<br><red>Leso<c>!"""
quiz04#0,"""คำถาม:<br><yellow>พ่อของ Aina มีชื่อว่าอะไร?"""
quiz04_01#0,"""พ่อของ Aina มีชื่อว่าอะไร?"""
quize04_select1#0,"""Garoa"""
quize04_select2#0,"""Bruder"""
quize04_select3#0,"""Crawford"""
quize04_select4#0,"""Rysas"""
quize04_answer#0,"""และคำตอบก็คือ...<br><red>Garoa<c>!"""
quiz5#0,"""คำถาม:<br><yellow>แร่ Blizzardium<br>สามารถหาได้จากที่ไหน?"""
quiz05_01#0,"""แร่ Blizzardium"""
quiz05_02#0,"""สามารถหาได้จากที่ไหน?"""
quize05_select1#0,"""Mt. Ihana"""
quize05_select2#0,"""Mt. Latva"""
quize05_select3#0,"""Mt. Picott"""
quize05_select4#0,"""Mt. Magnus"""
quize05_answer#0,"""และคำตอบก็คือ...<br><red>Mt. Ihana<c>!"""
quiz6#0,"""คำถาม:<br><yellow>ในระหว่างปฏิบัติการกู้คืน Stellar Grace<br>สามารถกู้คืน Stellar Grace ได้กี่อัน?"""
quiz06_01#0,"""ในระหว่างปฏิบัติการกู้คืน Stellar Grace"""
quiz06_02#0,"""สามารถกู้คืน Stellar Grace ได้กี่อัน?"""
quize06_select1#0,"""30"""
quize06_select2#0,"""10"""
quize06_select3#0,"""20"""
quize06_select4#0,"""40"""
quize06_answer#0,"""และคำตอบก็คือ...<br><red>30<c>!"""
