name010#0,"""Nazun"""
text010#0,"""ควิซแรกของเราในวันนี้คือ... ควิซ YES หรือ NO!!"""
text015#0,"""กฎนั้นง่ายมาก! หากคุณคิดว่าข้อความนั้นเป็นจริง ให้ไปยืนใน <c 008b00>Y Area<c> หากคุณคิดว่าข้อความนั้นเป็นเท็จ ให้ไปยืนใน <red>N Area<c>"""
text020#0,"""นี่คือคำถามของคุณ... ปิ๊ง!"""
text030#0,"""โปรดไปยังแพลตฟอร์มที่ถูกต้อง! คิดให้ดีล่ะ!"""
text040#0,"""หมดเวลาแล้ว!"""
text050#0,"""คำตอบที่ถูกต้องคือ...<br><red>NO<c>!"""
text051#0,"""คำตอบที่ถูกต้องคือ...<br><red>YES<c>!"""
text052#0,"""ขอแสดงความยินดี!"""
text053#0,"""แย่จังเลยนะ..."""
text060#0,"""นี่คือคำถามต่อไปของคุณ... ปิ๊ง!"""
text070#0,"""ได้เวลาสำหรับคำถามสุดท้ายแล้ว... ปิ๊ง!"""
text080#0,"""ขอจบช่วงของควิซ YES หรือ NO เพียงเท่านี้ ไปยังพื้นที่ควิซต่อไปกันเถอะ!"""
Textobj_Yes#0,"""YES"""
Textobj_No#0,"""NO"""
quiz01#0,"""YES หรือ NO:<br><yellow>Central City มีสถานที่ที่ใช้เป็นทางเข้า 4 แห่ง<c>"""
quiz00_1#0,"""N/A"""
quiz01_1#0,"""Central City มีสถานที่"""
quiz01_2#0,"""ที่ใช้เป็นทางเข้า 4 แห่ง"""
quiz02#0,"""YES หรือ NO:<br><yellow>มีจอมอนิเตอร์ขนาดใหญ่ 3 จอติดตั้งอยู่ทั่ว Retem City<c>"""
quiz02_1#0,"""มีจอมอนิเตอร์ขนาดใหญ่ 3 จอ"""
quiz02_2#0,"""ติดตั้งอยู่ทั่ว Retem City"""
quiz03#0,"""YES หรือ NO:<br><yellow>Mt. Magnus มีระดับความยาก [Rank 5]<c>"""
quiz03_1#0,"""Mt. Magnus มีระดับ"""
quiz03_2#0,"""ความยาก [Rank 5]"""
quiz04#0,"""YES หรือ NO:<br><yellow>ตำแหน่งงานของ Guiden คือ 【 ARKS Instruction Administrator 】<c>"""
quiz04_1#0,"""ตำแหน่งงานของ Guiden คือ"""
quiz04_2#0,"""【 ARKS Instruction Administrator 】"""
quiz05#0,"""YES หรือ NO:<br><yellow>บัฟที่ได้รับจากการเข้าร่วมคอนเสิร์ตมีระยะเวลา 24 ชั่วโมง<c>"""
quiz05_1#0,"""บัฟที่ได้รับจากการเข้าร่วมคอนเสิร์ต"""
quiz05_2#0,"""มีระยะเวลา 24 ชั่วโมง"""
quiz06#0,"""YES หรือ NO:<br><yellow>กำลังเสริมที่ถูกเรียกมาโดย Scout Wasp มีชื่อว่า Beehives<c>"""
quiz06_1#0,"""กำลังเสริมที่ถูกเรียกมาโดย Scout Wasp"""
quiz06_2#0,"""มีชื่อว่า Beehives"""
quiz07#0,"""YES หรือ NO:<br><yellow>Freyrays คือศัตรูที่ปรากฏตัวใน Retem El-Nossa<c>"""
quiz07_1#0,"""Freyrays คือศัตรูที่"""
quiz07_2#0,"""ปรากฏตัวใน Retem El-Nossa"""
quiz08#0,"""YES หรือ NO:<br><yellow>บัฟที่ได้รับจากการเข้าร่วมคอนเสิร์ตจะเพิ่ม EXP ที่ได้รับ 10%<c>"""
quiz08_1#0,"""บัฟที่ได้รับจากการเข้าร่วมคอนเสิร์ต"""
quiz08_2#0,"""จะเพิ่ม EXP ที่ได้รับ 10%"""
quiz09#0,"""YES หรือ NO:<br><yellow>Preset Ability Upgrades ต้องใช้ค่าธรรมเนียม 500 N-Meseta<c>"""
quiz09_1#0,"""Preset Ability Upgrades ต้องใช้"""
quiz09_2#0,"""ค่าธรรมเนียม 500 N-Meseta"""
quiz10#0,"""YES หรือ NO:<br><yellow>เมื่อเปิดใช้งาน Premium Set จะสามารถใช้ฟีเจอร์ 【 Auto Sell Drop Items 】 ได้<c>"""
quiz10_1#0,"""เมื่อเปิดใช้งาน Premium Set จะสามารถใช้"""
quiz10_2#0,"""ฟีเจอร์ 【 Auto Sell Drop Items 】 ได้"""
quiz11#0,"""YES หรือ NO:<br><yellow>อาวุธซีรีส์ Neos Justilon จะมีธาตุ Dark ติดมาด้วย<c>"""
quiz11_1#0,"""อาวุธซีรีส์ Neos Justilon จะมี"""
quiz11_2#0,"""ธาตุ Dark ติดมาด้วย"""
quiz12#0,"""YES หรือ NO:<br><yellow>Battle-Hardened Snowruq จะปรากฏตัวใน Southern Kvaris<c>"""
quiz12_1#0,"""Battle-Hardened Snowruq"""
quiz12_2#0,"""จะปรากฏตัวใน Southern Kvaris"""
quiz13#0,"""YES หรือ NO:<br><yellow>ตัวเลือก Add-On Skill ที่ชื่อ 【 5 Skill Creation 】 ต้องใช้ 4 N-Master Cubes<c>"""
quiz13_1#0,"""ตัวเลือก Add-On Skill ที่ชื่อ 【 5 Skill Creation 】"""
quiz13_2#0,"""ต้องใช้ 4 N-Master Cubes"""
quiz14#0,"""YES หรือ NO:<br><yellow>แสงออโรร่าเป็นหนึ่งในสภาพอากาศของ Kvaris<c>"""
quiz14_1#0,"""แสงออโรร่าเป็นหนึ่งใน"""
quiz14_2#0,"""สภาพอากาศของ Kvaris"""
quiz15#0,"""YES หรือ NO:<br><yellow>ตำแหน่งงานของ Traspo คือ 【 ARKS Architectural Researcher 】<c>"""
quiz15_1#0,"""ตำแหน่งงานของ Traspo คือ"""
quiz15_2#0,"""【 ARKS Architectural Researcher 】"""
quiz16#0,"""YES หรือ NO:<br><yellow>ตำแหน่งงานของ Liu Lin คือ 【 Operator 】<c>"""
quiz16_1#0,"""ตำแหน่งงานของ Liu Lin คือ"""
quiz16_2#0,"""【 Operator 】"""
quiz17#0,"""YES หรือ NO:<br><yellow>Strobol Island เป็นชื่อสถานที่ใน Southern Aelio<c>"""
quiz17_1#0,"""Strobol Island เป็นชื่อสถานที่"""
quiz17_2#0,"""ใน Southern Aelio"""
quiz18#0,"""YES หรือ NO:<br><yellow>ใน Western Aelio มีสถานที่ที่เรียกว่า Craiano Cliffs<c>"""
quiz18_1#0,"""ใน Western Aelio มีสถานที่"""
quiz18_2#0,"""ที่เรียกว่า Craiano Cliffs"""
quiz19#0,"""YES หรือ NO:<br><yellow>เผ่าพันธุ์ของ Meri คือ Human<c>"""
quiz19_1#0,"""เผ่าพันธุ์ของ Meri"""
quiz19_2#0,"""คือ Human"""
quiz20#0,"""YES หรือ NO:<br><yellow>หนึ่งในวัตถุดิบสำหรับการทำ Multi-Weapon คือ Photon Quartz<c>"""
quiz20_1#0,"""หนึ่งในวัตถุดิบสำหรับการทำ"""
quiz20_2#0,"""Multi-Weapon คือ Photon Quartz"""
quiz21#0,"""YES หรือ NO:<br><yellow>ตำแหน่งงานของ Ronaldine คือ Item Lab Strengthening Technician<c>"""
quiz21_1#0,"""ตำแหน่งงานของ Ronaldine คือ"""
quiz21_2#0,"""Item Lab Strengthening Technician"""
quiz22#0,"""YES หรือ NO:<br><yellow>Fortes Launcher ปรากฏตัวใน Cocoon ที่ชื่อว่า 【 Punishing Way 】<c>"""
