msc_014330_5010#0,"""ฮะ!! ย๊ากก เอาล่ะนะ"""
msc_014330_5020#0,"""ฮึบ!"""
msc_014330_5030#0,"""อึก!"""
msc_014330_5040#0,"""ฮ่าห์!"""
msc_014330_5050#0,"""ฮะ!"""
msc_014330_5060#0,"""ย่าห์!"""
msc_014330_5070#0,"""ฮึบ!"""
msc_014330_5080#0,"""อึก!"""
msc_014330_5100#0,"""อึก!"""
msc_014330_0010#0,"""...เอ๊ะ?!"""
msc_014330_5110#0,"""โอ้วววว!!"""
msc_014330_5120#0,"""อึก!"""
msc_014330_5130#0,"""อึก"""
msc_014330_0020#0,"""เธอ... ไม่เป็นไรใช่ไหม?<br>...ค่อยยังชั่วหน่อย..."""
msc_014330_0030#0,"""'ค่อยยังชั่ว' งั้นเหรอ...?! ทำไมล่ะ?! ทำไมถึงต้องทำขนาดนี้?!<br>เพียงเพื่อปกป้องคนอย่างฉันเนี่ยนะ?!"""
msc_014330_0040#0,"""ฉันจะดูแลมาน่อนเอง!<br>เธอไปช่วยเกลน (Glen) เถอะ!"""
name01#0,"""เรนเจอร์กองกำลังสำรวจเอลิโอ (Aelio Expeditionary Ranger)"""
name02#0,"""ฟอร์ซกองกำลังสำรวจเอลิโอ (Aelio Expeditionary Force)"""
name03#0,"""ฮันเตอร์กองกำลังแนวหน้าสเตีย (Stia Vanguard Hunter)"""
name04#0,"""ไฟท์เตอร์กองกำลังแนวหน้าสเตีย (Stia Vanguard Fighter)"""
