name01#0,"""シエラ"""
11_voice_train_04001#0,"""こんにちは！<br>ここでは「フォースの基礎」に<br>ついて訓練していきましょう。"""
text02#0,"""Comencemos aprendiendo acerca de los <red>Just Attacks<c>!"""
text03#0,"""通常攻撃やテクニックの後には<br>赤い円が出ます。ジャストアタックは<br>その<red>円に合わせて攻撃<c>することです！"""
text04#0,"""通常攻撃後に出る赤い円に合わせて<br>テクニックを出してみましょう！"""
text101#0,"""課題１：<yellow>ジャストアタックでテクニックを出す"""
train_title#0,"""課題１：<yellow>ジャストアタックでテクニックを出す"""
tut_title#0,"""Técnicas"""
text100#0,"""・<%NormalAttack>で通常攻撃をする<br>・赤い円が表示されたタイミングで<br>\u3000<%PhotonArts>でテクニックを発動する"""
text100_3b#0,"""・<%NormalAttack>で通常攻撃をする<br>・赤い円が表示されたタイミングで<br>\u3000<%PhotonArts>もしくは<%MainPaletteC>でテクニックを発動する"""
tut_win_title#0,"""[Just Attacks]"""
tut_win_text100#0,"""Con los \""Just Attacks\"" haces más daño de lo normal.<br><br>Al <c 00ffff>presionar el botón de ataque<c> cuando ves el círculo <red>rojo<c>, tu ataque se convierte en un Just Attack.<br><br><c 00ffff>※ Esto también se aplica a los Photon Arts y Techniques<c><br><br><c ff3300>※ Los ataques de los Pets no pueden ser Just Attacks.<c>"""
