name01#0,"""Xiera"""
text01#0,"""Talises are <red>throwing weapons<c> that can hit enemies from a distance."""
text02#0,"""Their most important feature is that after you throw them, they <red>remain where you threw them<c> for a short time, during which any Techniques you cast will come from the Talis instead of yourself."""
text03#0,"""Try throwing the Talis with its Normal Attack, then using a <red>charged Technique<c>."""
text101#0,"""Task 4: <yellow>Cast from a Talis"""
train_title#0,"""Task 4: <yellow>Cast from a Talis"""
tut_title#0,"""Talises"""
text100#0,"""・Use a Normal Attack with <%NormalAttack><br>・Charge and cast a Technique<br>\u3000with <%PhotonArts>"""
text100_3b#0,"""・Use a Normal Attack with <%NormalAttack><br>・Charge and cast a Technique<br>\u3000with <%PhotonArts> or <%MainPaletteC>"""
tut_win_title#0,"""Talises"""
tut_win_text100#0,"""Talis is a unique teching weapon that lets you throw a card and cast Techniques from the thrown card.<br><br>A Talis gives you additional options in battle, such as throwing it into an area you cannot enter yourself and casting Techniques from within it."""
