name010#0,"""ไอน่า (Aina)"""
text010#0,"""เดี๋ยวจะนำทางไปที่หมู่บ้านนะ แล้วค่อยอธิบายทุกอย่างให้ฟังที่นั่นก็แล้วกัน"""
text020#0,"""พอเดินไหวรึเปล่า? ลองเดินไปทางหน้าผาตรงนู้นดูนะ"""
Text_Move_Pad#0,"""เคลื่อนที่: """
Text_Move_Key#0,"""เดินหน้า/ถอยหลัง: """
Text_Move_Key2#0,"""เดินซ้าย/ขวา: """
Text_Jump#0,"""กระโดด: """
Text_DoubleJump#0,"""กระโดด 2 จังหวะ: """
Text_Sight#0,"""หมุนมุมกล้อง: """
Button_Move_Pad#0,"""<swguidetype T_Moveguide_l>"""
Button_Move_Key#0,"""<%MoveForward>/<%MoveBack>"""
Button_Move_Key2#0,"""<%MoveLeft>/<%MoveRight>"""
Button_Jump#0,"""<%Jump>"""
Button_DoubleJump#0,"""กด <%Jump> 2 ครั้ง"""
Button_Sight_Pad#0,"""<swguidetype T_Moveguide_r>"""
Button_Sight_Key#0,"""ขยับเมาส์"""
