text10#0,"""About Photons"""
text20#0,"""About Claris Claes"""
text30#0,"""About Omega"""
text999#0,"""Go back"""
text01#0,"""テキストがまだないので仮です１"""
text03#0,"""テキストがまだないので仮です２"""
text02#0,"""テキストがまだないので仮です３"""
ep5test01#0,"""***"""
ep5test02#0,"""***"""
sq01_010#0,"""The ARKS Ship has changed too.<br>This place, the Bridge, wasn't it? It's all becoming more high-tech."""
sq01_020#0,"""落ち着いてきたら、外もふらふら<br>見回らせてもらおうかなー。<br>わたし、誰にも気付かれないしさ。"""
11_voice_NPC_5430_104#0,"""ルーサーかぁ……<br>いや、わたしもとびっきり悪いイメージ<br>しかもってないけどね。"""
sq02_020#0,"""こっちの世界との繋がりって考えると<br>今のところ唯一のものだから<br>無下にもしにくいのがなんとも。"""
sq02_030#0,"""でもね、あいつきっとどんな状態でも<br>口だけ達者なひねくれ者だろうから<br>のせられないように注意、だよ。"""
sq03_010#0,"""オメガが持つエネルギーの増大に<br>比例してダーカーも強力になる。"""
11_voice_NPC_5430_105#0,"""アカシックレコードと一体化<br>してるからこその現象だろうね。"""
sq03_030#0,"""ダーカーの力、その記録が<br>書き換えられてるってこと。<br>……想像以上にやっかいだよ、これ。"""
11_voice_NPC_5430_104#1,"""フォトンって感覚が一番重要だからさ<br>二代目ちゃんの「嫌な予感」って<br>無視できないんだよねー。"""
sq04_020#0,"""わたしはこう、都合良く<br>書き換えたりしちゃう人だから<br>そういうのにはうとくてさ。"""
sq04_030#0,"""気を付けるに越したことはない。<br>くれぐれも、無理はしないようにね。<br>二代目ちゃん、泣いちゃうよ？"""
11_voice_NPC_5430_104#2,"""聞いた感じ、わたしのイメージだと<br>フォトナーの記録とアークスの記録が<br>ミックスされてる、って思うかなあ。"""
sq05_020#0,"""例えば、ゲッテムハルトって人は<br>アークスの記録にしかないでしょ？<br>どっちの要素もあるよね、これ。"""
sq05_030#0,"""そこが混ざりまくってる理由が<br>一番重要なんだけど……<br>それはちょっとわからないかな。"""
sq06_010#0,"""操られていたのだとしても<br>ルーサーの行いは許されないし<br>許すつもりもないよ。"""
sq06_020#0,"""まーもっとも、あいつ自身も<br>許してもらおうなんてこれっぽっちも<br>考えてないだろうけどさ。"""
sq08_010#0,"""今までの事例とは、状況が異なるよ。<br>オメガの中から、外部世界への<br>干渉が行われたってことだからね。"""
sq08_020#0,"""並大抵の力じゃそんなの不可能。<br>わたしが向こうにいたとしても<br>出来るかどうかは微妙かな。"""
sq08_030#0,"""つまり、それだけの力を持つ存在が<br>向こうにはまだいるってこと。<br>……本当に、気を付けてね。"""
sq09_010#0,"""無事に戻ってきたってことは<br>原理としてはわたしのやってることと<br>同じなのかもしれないね。"""
sq09_020#0,"""目の前にあるものを送るのと<br>遠くのものを呼び寄せるのじゃ<br>勝手は全然違うけどさ。"""
sq09_030#0,"""召喚の技術が進歩してる世界なら<br>ありえない話じゃない。<br>他の子達も、きっとオメガだね。"""
sq10_010#0,"""失踪者たちは戻ってこられたけど<br>ブラックホールはなくならない。<br>つまり、まだ問題は残ってる。"""
11_voice_NPC_5430_105#1,"""消去法で考えると、あとは<br>【双子】って事になるけど……<br>未然に止められないものかなあ。"""
sq11_010#0,"""二代目ちゃんの言ってるとおり<br>事件は連続してるけど<br>同時にはこない。"""
11_voice_NPC_5430_104#3,"""そこに理由があるのかな？<br>あるいは、同時に起こせない<br>理由とかがあったりするのかな？"""
sq11_030#0,"""同時に来られた方が、こっちと<br>しては厄介極まりないんだけど……<br>そもそも、目的が違うのかな？"""
11_voice_NPC_5430_105#2,"""うーむむむ……<br>敵の都合で振り回されてる<br>感じがして、歯がゆいね。"""
sq12_010#0,"""ブラックホールの拡大……<br>あれがフォトンの吸収によって<br>なされているのなら……"""
11_voice_NPC_5430_104#4,"""……ん？\u3000あ、ああっとゴメン。<br>ちょっとゴチャゴチャ考えてた。"""
sq12_030#0,"""わたしにしか取れない手ってのも<br>あったりするからさ。<br>大丈夫、なんとかなるしなんとかする。"""
sq12_040#0,"""今までも、そしてこれからも<br>アークスはなんとかしてきたんだから。<br>今回だって、なんとかなる！"""
sq13_010#0,"""だいたいの話は聞いてるよ。<br>でもゴメン、ちょっと休ませて。"""
sq13_020#0,"""この前の戦いで無理しちゃって……<br>少し休まないと存在維持が危ないの。<br>……肝心な時に、ゴメンね。"""
sq13_030#0,"""ちゃんと調子戻して<br>わたしも協力するから……<br>もうちょっとだけ、時間をちょうだい。"""
11_voice_NPC_5430_104#5,"""...Oh, sorry. I'm still a little dazed..."""
11_voice_NPC_5430_105#3,"""I know things are difficult right now, but my head feels so strange that I can hardly think..."""
ep6_sq02_01_01#0,"""I've had plenty of sleep, so I think I'll be fine for now."""
ep6_sq02_01_02#0,"""I'm sorry, but I'll have to leave this up to you. I'll try to be more helpful next time."""
11_voice_NPC_5430_105#4,"""Hmm, this is very worrying. What could Shiva be thinking?"""
ep6_sq02_02_02#0,"""Doesn't she have tremendous strength? But as soon as she gets one step away from crushing us, she withdraws."""
ep6_sq02_02_03#0,"""If she's still just toying with us, what sort of game will she decide to play next..."""
ep6_sq03_02_01_01#0,"""Unbelievable, they sent a decoy in Shiva's place...<br>We were completely deceived."""
ep6_sq03_02_01_02#0,"""But at least the Braided Ash Formation worked and you were able to beat Mitra."""
11_voice_NPC_5430_100#0,"""That means there must be a way to counteract Shiva herself. I'll try and think of something."""
11_voice_NPC_5430_100#1,"""Hehe, trying to use the Akashic Record to set a universe-wide trap is quite a bold idea."""
ep6_sq04_01_02#0,"""I'm happy to help with anything I can, so don't hesitate to ask for me if you need me."""
